year,mmsi,transmitter_no,raw_registered_gear_type,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas
2016,1031072266,31072266,Purse Seine Small Pelagics,4471,256,0,156,0,5147.191666666603,1699.1083333333002,0,0
2016,1004608711,4608711,Purse Seine Small Pelagics,1222,61,0,24,0,1303.2583333330995,231.2916666666001,0,0
2014,1004573726,4573726,Longline Tuna,5033,226,167,186,141,5087.8750000000955,2415.2500000000964,3728.9166666667957,1881.500000000097
2016,1000143248,143248,Stick-Held lift net,786,18,0,4,0,422.2500000008997,20.2583333336,0,0
2015,1004804382,4804382,Pole-and-line,1220,100,0,22,0,1305.0999999991,64.05833333320001,0,0
2014,1000102922,102922,Pole-and-line,2662,86,0,13,0,1260.4666666660003,38.4583333333,0,0
2016,1004965269,4965269,Longline Tuna,587,62,40,26,22,863.4333333333005,200.55833333359996,601.3250000000004,189.08333333359997
2014,1004587968,4587968,Fish net/dragnet,57,14,0,1,0,61.94166666650002,1,0,0
2016,1000073618,73618,Purse Seine Big Pelagics with one boat,588,20,0,2,0,410.7250000008,17.1666666668,0,0
2016,1140122059,140122059,Oceanic gillnet,408,19,0,8,0,404.22499999990004,112.2083333333,0,0
2016,1040409808,40409808,Purse Seine Big Pelagics with one boat,433,18,18,1,1,422.0166666674999,4.0000000001,422.0166666674999,4.0000000001
2015,1031057332,31057332,Longline Tuna,540,25,25,11,11,561.1916666667997,171.76666666660003,561.1916666667997,171.76666666660003
2014,1004957186,4957186,Longline Tuna,673,36,27,15,15,672.6916666668001,183.64166666650007,592.6166666667999,183.64166666650007
2016,1004517907,4517907,Anchored gillnets,527,49,0,41,0,886.3083333340003,613.8916666671001,0,0
2015,1004646207,4646207,Purse Seine Small Pelagics,946,82,0,10,0,1025.6833333333007,83.1583333336,0,0
2014,1004612043,4612043,Stick-Held lift net,869,49,0,7,0,903.7000000000004,55.5,0,0
2014,1004623996,4623996,Basic longline,1576,90,0,34,0,1589.8999999996993,454.5166666661999,0,0
2015,1000073618,73618,Longline Tuna,739,19,0,13,0,402.14999999970024,177.93333333329986,0,0
2014,1004892537,4892537,Longline Tuna,584,29,13,13,0,600.3666666665997,128.5,272.45833333330006,0
2015,1004595810,4595810,Purse Seine Small Pelagics,530,26,0,9,0,542.0416666666001,42.4250000001,0,0
2015,1004538665,4538665,Purse Seine Big Pelagics with one boat,412,32,0,3,0,427.9500000000999,35.5,0,0
2015,1004555555,4555555,Purse Seine Small Pelagics,250,27,0,2,0,274.73333333340014,32.4333333333,0,0
