year,type,mmsi,imo,call_sign,ship_name,sub_type,flag_state,length,tonnage,engine_power,crew,all_encounters,encounters_with_high_seas_vessels,encounters_in_the_high_seas,distinct_fishing_flags,fraction_with_high_seas_vessels,most_common_flag,aux_engine_power,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc,gap_hours,gap_days
2015,bunker,371596000,9031507,3EVX5,HAI GONG YOU 303,bunker,Panama,104,4989,3655.26666667,22,7,7,7,1,1,China,913.8166666675,14.193547934154255,14.35410995368968,203,203,217,139.61,4
2015,bunker,529794000,9167710,T3QZ2,ANGEL 18,bunker,Kiribati,117.27,6332,3603,18,7,6,3,4,0.8571428571428571,China,900.75,14.192634794568,14.305984520161,203,203,217,0,0
2016,bunker,538004917,9132612,V7ZU5,ANGEL 22,bunker,Marshall Islands,114,5738,3722.28628791,18,7,6,4,4,0.8571428571428571,United States,930.5715719775,14.223213906359984,14.415511866980296,203,203,217,509.0497222222223,18
2015,bunker,518100014,9188520,E5U2959,HAI SOON 39,bunker,Cook Islands,103.4,3878,4118,20,6,6,5,4,1,Federated States of Micronesia,1029.5,14.328567125832,14.771011705795999,203,203,217,0,0
2016,bunker,354136000,8609840,3FWS5,ROYAL COOP,bunker,Panama,97.7,4007,3200,22,6,6,6,1,1,Japan,800,14.0370315492,13.92785696,203,203,217,810.0966666666667,30
2013,bunker,538004146,9381627,YJTN7,B SKY,bunker,Marshall Islands,94.0881482354,3666.09849469,3e3,18,6,5,6,2,0.8333333333333334,South Korea,750,13.96870045240346,13.735560999999999,203,203,217,25.51222222222222,0
2014,bunker,440402000,9036387,DSEM6,WOO BONG,bunker,South Korea,112,4702,3014.96646,18,6,2,0,2,0.3333333333333333,South Korea,753.741615,13.987207338967329,13.750057486595283,260,203,217,24.79,0
2014,bunker,538004917,9132612,V7ZU5,ANGEL 22,bunker,Marshall Islands,114,5738,3722.28628791,18,6,2,0,4,0.3333333333333333,Taiwan,930.5715719775,14.223213906359984,14.415511866980296,203,203,217,40.20944444444444,0
2014,bunker,354136000,8609840,3FWS5,ROYAL COOP,bunker,Panama,97.7,4007,3200,22,5,5,5,1,1,Japan,800,14.0370315492,13.92785696,203,203,217,120.40944444444445,3
2014,bunker,371596000,9031507,3EVX5,HAI GONG YOU 303,bunker,Panama,104,4989,3655.26666667,22,5,5,4,1,1,China,913.8166666675,14.193547934154255,14.35410995368968,203,203,217,63.04,1
2014,bunker,529126000,8905397,T3NE,HAI SOON 28,bunker,Kiribati,99.0880615424,4745.48926499,4117.60311842,21,5,5,5,1,1,Spain,1029.400779605,14.337305709660836,14.770661192640134,203,203,217,66.35416666666666,0
2014,bunker,538004149,9381641,V7VL4,B. ACE,bunker,Marshall Islands,98.12,3978,3e3,22,5,5,5,4,1,Netherlands,750,13.972843752,13.735560999999999,203,203,217,0,0
2014,bunker,636092595,9340922,D5GP9,BONAIRE TRADER,bunker,Liberia,116.5,7687,4500,18,5,5,5,3,1,China,1125,14.485497477,15.102762249999998,203,203,217,820.7741666666667,31
2015,bunker,529839000,9084695,T3SW2,ANGEL 29,bunker,Kiribati,123,5594,2426,18.5,5,5,2,2,1,China,606.5,13.813695137352,13.166579852803999,203,203,217,0,0
2016,bunker,355526000,9393656,3ELS5,ANUKET JADE,bunker,Panama,101,5581,3397.79752813,19,5,5,0,4,1,Ghana,849.4493820325,14.119323652134579,14.115008259945819,203,203,217,0,0
2015,bunker,452976810,9101455,T3PX2,ANGEL 101,bunker,Kiribati,110,4999,2942,19,5,4,1,4,0.8,Papua New Guinea,735.5,13.968061736964,13.679219491556,203,203,217,0,0
2015,bunker,538005147,9555187,V7BI5,MUMBAI,bunker,Marshall Islands,103.031484523,4369.61948701,2611,22,5,4,4,3,0.8,South Korea,652.75,13.854336827455827,13.352730843808999,203,203,217,188.37083333333334,3
2014,bunker,440663000,9116216,DSOY9,ASIAN CHEMI,bunker,South Korea,99,4815,3088.1676,20,5,3,3,2,0.6,South Korea,772.0419,14.011893714982453,13.820711690255589,260,203,217,158.71,0
2014,bunker,441630000,9031870,DSQM8,JEY DREAM,bunker,South Korea,104.54,3293,2942,17,5,2,1,2,0.4,South Korea,735.5,13.945127917548,13.679219491556,260,203,217,0,0
2015,bunker,273445950,9102801,UFDN,MARINE ALLIANCE,bunker,Russia,97.7290285324,4070.18694543,4022.61326409,19,5,1,1,3,0.2,Russia,1005.6533160225,14.300117913666316,14.686420605326036,250,203,217,26.88083333333333,0
2015,bunker,529632000,9058804,9VAY5,M.T. HAI SOON 26,bunker,Kiribati,105,3338,3353,25,4,4,1,2,1,Federated States of Micronesia,838.25,14.077601055012,14.072885589161,203,203,217,0,0
2015,bunker,538004149,9381641,V7VL4,B. ACE,bunker,Marshall Islands,98.12,3978,3e3,22,4,4,4,2,1,South Korea,750,13.972843752,13.735560999999999,203,203,217,0,0
2016,bunker,518100282,9697296,E5U3218,B PACIFIC,bunker,Cook Islands,101.39,5689,3e3,18,4,4,4,2,1,South Korea,750,13.995572676,13.735560999999999,203,203,217,25.65222222222222,0
2015,bunker,538004146,9381627,YJTN7,B SKY,bunker,Marshall Islands,94.0881482354,3666.09849469,3e3,18,4,3,4,3,0.75,Japan,750,13.96870045240346,13.735560999999999,203,203,217,0,0
2015,bunker,440402000,9036387,DSEM6,WOO BONG,bunker,South Korea,112,4702,3014.96646,18,4,2,0,3,0.5,South Korea,753.741615,13.987207338967329,13.750057486595283,260,203,217,299.83472222222224,5
2015,bunker,441922000,9558816,DSRN4,WOO YEON,bunker,South Korea,118,5036,2880,18,4,2,2,3,0.5,South Korea,720,13.948955269439999,13.618706137599998,260,203,217,24.639444444444443,0
2015,bunker,538004917,9132612,V7ZU5,ANGEL 22,bunker,Marshall Islands,114,5738,3722.28628791,18,4,2,2,3,0.5,Papua New Guinea,930.5715719775,14.223213906359984,14.415511866980296,203,203,217,0,0
2016,bunker,440402000,9036387,DSEM6,WOO BONG,bunker,South Korea,112,4702,3014.96646,18,4,2,1,3,0.5,South Korea,753.741615,13.987207338967329,13.750057486595283,260,203,217,93.48972222222221,0
2013,bunker,529126000,8905397,T3NE,HAI SOON 28,bunker,Kiribati,99.0880615424,4745.48926499,4117.60311842,21,3,3,3,2,1,Spain,1029.400779605,14.337305709660836,14.770661192640134,203,203,217,32.88611111111111,0
2013,bunker,538004149,9381641,V7VL4,B. ACE,bunker,Marshall Islands,98.12,3978,3e3,22,3,3,1,3,1,Ecuador,750,13.972843752,13.735560999999999,203,203,217,175.37833333333333,1
2015,bunker,354136000,8609840,3FWS5,ROYAL COOP,bunker,Panama,97.7,4007,3200,22,3,3,3,1,1,Japan,800,14.0370315492,13.92785696,203,203,217,130.92694444444444,2
2015,bunker,518100013,9109897,E5U2958,HAI SOON 5,bunker,Cook Islands,89.18,1998,2059,20,3,3,3,1,1,Japan,514.75,13.641166715556,12.789502926449,203,203,217,0,0
2015,bunker,529765000,9405631,T3PU2,SUN LAUREL,bunker,Kiribati,105.6,4067,2147.616,18,3,3,3,2,1,China,536.904,13.702244850586176,12.881501157766964,203,203,217,0,0
2015,bunker,529771000,9125724,T3QA2,OCEAN LION,bunker,Kiribati,107.512858032,3859.54129857,3136.46449938,18,3,3,0,3,1,China,784.116124845,14.014859246407921,13.867102416232084,203,203,217,91.0188888888889,2
2015,bunker,538005932,9208605,V7IF2,ANGEL 17,bunker,Marshall Islands,108.5,5373,3883,18,3,3,1,2,1,Papua New Guinea,970.75,14.269755899622,14.561346226481,203,203,217,0,0
2015,bunker,576967000,9405631,YJSU6,SUN LAUREL,bunker,Vanuatu,85.2911969737,2132.91112842,2974.80908923,20,3,3,3,2,1,Spain,743.7022723075,13.94016791846431,13.711122211241834,203,203,217,0,0
2014,bunker,440265000,9213222,D7O,P PIONEER,bunker,South Korea,110,5160,2896.718,19.5,3,2,2,3,0.6666666666666666,China,724.1795,13.95592368809904,13.635052394176299,260,203,217,0,0
2015,bunker,538006555,9697296,V7OI5,B.PACIFIC,bunker,Marshall Islands,101.39,5689,3e3,18,3,2,3,3,0.6666666666666666,China,750,13.995572676,13.735560999999999,203,203,217,0,0
2016,bunker,572641210,9035278,T2MZ4,FONG SEONG NO.888,bunker,Tuvalu,70.4,1734,1655,10,3,2,2,2,0.6666666666666666,Vanuatu,413.75,13.50557943066,12.362426969225,203,203,217,0,0
2015,bunker,441630000,9031870,DSQM8,JEY DREAM,bunker,South Korea,104.54,3293,2942,17,3,1,1,2,0.3333333333333333,South Korea,735.5,13.945127917548,13.679219491556,260,203,217,0,0
2013,bunker,440402000,9036387,DSEM6,WOO BONG,bunker,South Korea,112,4702,3014.96646,18,2,2,0,1,1,South Korea,753.741615,13.987207338967329,13.750057486595283,260,203,217,74.43527777777778,0
2013,bunker,538005147,9555187,V7BI5,MUMBAI,bunker,Marshall Islands,103.031484523,4369.61948701,2611,22,2,2,2,1,1,South Korea,652.75,13.854336827455827,13.352730843808999,203,203,217,0,0
2014,bunker,538004146,9381627,YJTN7,B SKY,bunker,Marshall Islands,94.0881482354,3666.09849469,3e3,18,2,2,2,2,1,China,750,13.96870045240346,13.735560999999999,203,203,217,0,0
2016,bunker,518100013,9109897,E5U2958,HAI SOON 5,bunker,Cook Islands,89.18,1998,2059,20,2,2,1,1,1,Japan,514.75,13.641166715556,12.789502926449,203,203,217,52.81638888888889,0
2016,bunker,529231000,9078751,E5U3120,HAI SOON 12,bunker,Kiribati,101,3243,3859.87773404,18,2,2,2,1,1,Taiwan,964.96943351,14.23919336829953,14.540487081188624,203,203,217,0,0
2014,bunker,273445950,9102801,UFDN,MARINE ALLIANCE,bunker,Russia,97.7290285324,4070.18694543,4022.61326409,19,2,1,0,1,0.5,China,1005.6533160225,14.300117913666316,14.686420605326036,250,203,217,95.9688888888889,0
2014,bunker,370559000,9405631,3ETH2,SUN LAUREL,bunker,Panama,102.749945917,4007.32821738,2148.48,10,2,1,1,1,0.5,South Korea,537.12,13.70158832981876,12.882395160072601,203,203,217,0,0
2014,bunker,529584000,8503307,9VKU5,NO.7 COAM,bunker,Kiribati,88.01,3e3,1777.7488,18,2,1,1,2,0.5,Japan,444.4372,13.5665633423712,12.493515165690875,203,203,217,244.72555555555556,2
2014,bunker,529767000,8513405,T3PW2,GLORY NO. 2,bunker,Kiribati,119.4,5874,3400,18.5,2,1,1,2,0.5,China,850,14.1235876128,14.11707524,203,203,217,151.0727777777778,4
2014,bunker,529771000,9125724,T3QA2,OCEAN LION,bunker,Kiribati,107.512858032,3859.54129857,3136.46449938,18,2,1,0,2,0.5,China,784.116124845,14.014859246407921,13.867102416232084,203,203,217,28.173333333333332,0
2016,bunker,529770000,9114842,T3PZ2,NEW SMILE,bunker,Kiribati,98.46,4629,2426,17,2,1,1,2,0.5,Marshall Islands,606.5,13.799357256132,13.166579852803999,203,203,217,0,0
2013,bunker,354136000,8609840,3FWS5,ROYAL COOP,bunker,Panama,97.7,4007,3200,22,1,1,1,1,1,Japan,800,14.0370315492,13.92785696,203,203,217,25.60527777777778,0
2013,bunker,441630000,9031870,DSQM8,JEY DREAM,bunker,South Korea,104.54,3293,2942,17,1,1,0,1,1,South Korea,735.5,13.945127917548,13.679219491556,260,203,217,35.236111111111114,0
2013,bunker,538004147,9377834,V7VL2,B.OCEAN,bunker,Marshall Islands,105,3978,5099.89475553,18,1,1,0,1,1,Taiwan,1274.9736888825,14.64290404969748,15.601084294581934,203,203,217,288.24805555555554,4
2014,bunker,355526000,9393656,3ELS5,ANUKET JADE,bunker,Panama,101,5581,3397.79752813,19,1,1,1,1,1,South Korea,849.4493820325,14.119323652134579,14.115008259945819,203,203,217,0,0
2014,bunker,441922000,9558816,DSRN4,WOO YEON,bunker,South Korea,118,5036,2880,18,1,1,0,1,1,United States,720,13.948955269439999,13.618706137599998,260,203,217,209.61138888888888,7
