year,mmsi,transmitter_no,shipname,raw_registered_gear_type,gfw_sub_gear,gfw_gear,length,tonnage,engine_power,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas,fraction_effort_on_high_seas,aux_engine_power,crew,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc
2016,1004533258,4533258,NA,Longline Tuna,drifting_longlines,drifting_longlines,26.12,117,313.2,784,33,26,18,17,747.4416666663005,260.4416666665,603.4499999999,258.4416666665,0.992320737209223,93.96,9,13.0357721910552,10.85386621649296,180,180,217
2016,1004479783,4479783,NA,Longline Tuna,drifting_longlines,drifting_longlines,28.62,180,474.91165465495095,5370,236,168,72,63,5383.616666666498,591.2833333327003,3570.6333333331,514.7416666662002,0.870549933760044,142.47349639648527,14,13.090358248639863,11.043017194707758,180,180,217
2014,1004613841,4613841,SURYA TERBIT - 92,Longline Tuna,drifting_longlines,drifting_longlines,17.64,35,194.6553287048099,589,29,15,4,2,603.2166666667003,10.9916666667,281.25000000020015,4.9916666667000005,0.45413191812144316,58.39659861144297,5,12.994970427400691,10.713928701441747,220,220,217
2016,1000073754,73754,NA,Longline Tuna,drifting_longlines,drifting_longlines,24.97,98,369.3284054815904,7911,194,102,101,70,4141.108333334399,801.8666666685002,2199.816666666202,633.9500000016,0.7905927835053421,110.7985216444771,14,13.053887109357117,10.91974650864139,180,180,217
2016,1000125537,125537,NA,Longline Tuna,drifting_longlines,drifting_longlines,20.86,92,208.8,9492,195,170,103,99,4410.641666666803,823.6083333337997,3931.141666668196,787.0833333337997,0.9556524642579147,62.64,6,13.0008302472768,10.73068276288576,220,220,217
2016,1004585182,4585182,JAYA BALI BERSAUDARA - 8,Longline Tuna,drifting_longlines,drifting_longlines,26.34,122,407.53540543291194,5865,256,244,210,210,5874.866666666705,2424.0333333331,5705.016666666704,2424.0333333331,1,122.26062162987358,11,13.066974573418893,10.964453026380355,180,180,217
2016,1004805190,4805190,TUNA JAYA 111,Longline Tuna,drifting_longlines,drifting_longlines,19.2,64,227.55888790717813,7778,163,159,136,136,3769.5333334357038,1508.841666707798,3724.0166667690046,1508.841666707798,1,68.26766637215344,5,13.006431139155248,10.752878519869567,220,220,217
2015,1004887545,4887545,CHIU SHIH - 8,Longline Tuna,drifting_longlines,drifting_longlines,21.7,84,285.1446669561559,4495,232,43,89,25,4726.383333332497,666.1499999994,711.4666666665998,158.98333333330004,0.23865996147030433,85.54340008684677,9,13.02583890329468,10.820845620242237,220,220,217
2014,1004794569,4794569,GARUDA JAYA - II,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,27.22,172,313.2,7194,324,221,242,185,7236.608333333,3209.9749999993983,4639.000000000002,2487.3666666660993,0.7748866164585598,93.96,12,13.0369080073632,10.85386621649296,180,180,217
2014,1000087097,87097,CAHAYA ABADI - II,Longline Tuna,drifting_longlines,drifting_longlines,22.89,85,314.62795095947274,15592,359,183,185,131,8234.400000002997,1920.5166666673006,3888.233333334697,1405.091666667299,0.7316216990220523,94.38838528784181,10,13.035582243480096,10.855545268103334,220,220,217
2014,1004574384,4574384,SUMBER LAUT 8,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,27.65,135,445.67137816309446,2586,120,93,74,66,2568.9749999994,1063.0416666664003,2057.4333333325994,1015.5083333332004,0.9552855407048532,133.70141344892832,12,13.079810430619766,11.008964429235474,180,180,217
2015,1004965257,4965257,BALI PERMAI - 1,Longline Tuna,drifting_longlines,drifting_longlines,26.14,143,208.8,4133,215,140,125,125,3406.074999999304,1299.4416666659004,3242.491666666003,1299.4416666659004,1,62.64,9,13.0018980582672,10.73068276288576,180,180,217
2016,1004942465,4942465,BANDAR NELAYAN 208,Longline Tuna,drifting_longlines,drifting_longlines,25.69,103,275.9,17527,270,261,216,212,6209.366666889602,2469.3083335050974,6076.558333556299,2441.291666838397,0.988654042799535,82.77,8,13.0231846086666,10.80995155631849,180,180,217
