ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
4226.0,MARORAOI,T3LN2,440968e3,8103080.0,Single Purse Seine,68.1,1102.0,2684.52,25.0
4242.0,ORIENTAL KIM,6NHC,440822e3,7827495.0,Single Purse Seine,75.59,745.0,2684.52,22.0
4267.0,BETTY C,T3QS,NA,7397775.0,Single Purse Seine,61.11,1166.0,3281.08,19.0
4283.0,SEA ENCOUNTER,WTF4069,338539e3,7823360.0,Single Purse Seine,78.94,1340.0,2684.52,20.0
4291.0,CAROL LINDA,WTF4062,338551e3,7827445.0,Single Purse Seine,83.52,1975.0,2684.52,20.0
4333.0,DEOLINDA,6NHD,440444e3,7827469.0,Single Purse Seine,68.28,606.0,2684.52,22.0
4341.0,WESTERN PACIFIC,WDD5296,367666e3,7508893.0,Single Purse Seine,79.28,2024.0,2684.52,21.0
4390.0,MAMAUTARI,T3LW2,529695e3,8003278.0,Single Purse Seine,68.1,1201.65,2647.7954999999997,25.0
4408.0,PACIFIC PRINCESS,WDC3424,366878e3,7806271.0,Single Purse Seine,78.715,2110.0,2684.52,21.0
4457.0,CAPE MAY,WDE2195,368489e3,8103028.0,Single Purse Seine,69.92,NA,2684.52,25.0
4465.0,ELSPETH,6NHK,440479e3,7827483.0,Single Purse Seine,75.59,745.0,2684.52,22.0
4473.0,ALPINE ROSE,P2V4189,NA,7523829.0,Single Purse Seine,NA,NA,NA,NA
4499.0,DANIELA,WDD5649,338459e3,7107716.0,Single Purse Seine,64.62,1231.0,2684.52,20.0
4507.0,CAPT MJ SOUZA,ZMAS,NA,7823396.0,Single Purse Seine,68.13,1468.0,2648.0,19.0
4523.0,MOAMAEU,T3BL2,529469e3,7915929.0,Single Purse Seine,79.91,1803.0,2684.52,25.0
4531.0,JEANNINE,T3SF,NA,7415242.0,Single Purse Seine,61.2,1460.0,2684.52,21.0
4549.0,RAFFAELLO,WDD9140,367168e3,7212377.0,Single Purse Seine,58.22,1097.0,2684.52,23.0
4705.0,SAJO OLYMPIA,6LCU,440671e3,8102921.0,Single Purse Seine,76.06,701.0,2647.7954999999997,25.0
4788.0,KAO NO.1,T3AG,529004e3,8029026.0,Single Purse Seine,56.75,1015.0,1618.09725,24.0
4986.0,K UNICORN,3DYG,NA,NA,NA,NA,NA,NA,NA
6932.0,KOORALE,WDC4205,303345e3,7233280.0,Single Purse Seine,NA,1072.0,2684.52,18.0
7187.0,KOYO MARU NO.88,7JJR,431435e3,8122529.0,Single Purse Seine,61.9,1016.0,1838.0,22.0
7278.0,TAIJIN NO.18,T3EG,NA,8130174.0,Single Purse Seine,61.9,1016.0,1838.0,26.0
7294.0,CHENILLE,DUG9082,NA,8204585.0,Single Purse Seine,NA,NA,NA,NA
7773.0,GOLDEN SAPPHIRE,DUA6356,NA,7395686.0,Single Purse Seine,57.4,787.41,NA,NA
7849.0,JOHN REYNALD,DUQA7,NA,8118322.0,Single Purse Seine,60.75,1020.88,2087.96,27.0
7906.0,HANNAH 88,DUM6144,548198100.0,8103558.0,Single Purse Seine,61.51,1047.71,1938.8200000000002,24.0
7930.0,TOBIAS REYNALD,DUA2635,NA,8210508.0,Single Purse Seine,50.5,887.0,1640.54,26.0
7948.0,CAPE FINISTERRE,WDA4699,366304e3,7912094.0,Single Purse Seine,72.63,1809.0,3206.51,25.0
8193.0,KAZU MARU NO.18,JM5083,NA,NA,Longline,29.75,76.57,507.0,10.0
