transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
33423,33423,7/8/2015 0:00:00,7/7/2016 0:00:00,Stick-Held lift net,23.81,5.75,381,2/4/2014 5:18:00,6/2/2014 8:22:00,711
33659,33659,10/25/2015 0:00:00,10/24/2016 0:00:00,Purse Seine Small Pelagics,23.63,7.65,166,1/1/2014 7:30:00,1/8/2014 11:08:00,"712, 713"
33733,33733,9/2/2014 0:00:00,9/1/2015 0:00:00,Longline Tuna,21.52,6.28,28,2/20/2014 12:00:00,2/28/2014 9:22:00,573
35215,35215,4/24/2015 0:00:00,4/23/2016 0:00:00,Transporter,16.2,4.5,105,3/6/2014 4:51:00,4/1/2014 22:10:00,
35287,35287,2/17/2016 0:00:00,2/16/2017 0:00:00,Longline Tuna,18.86,6.86,4018,1/12/2014 4:20:00,5/19/2014 3:05:00,573
35303,35303,8/12/2014 0:00:00,8/11/2015 0:00:00,Shrimp net,22.56,7.79,15,2/15/2014 13:29:00,2/16/2014 12:04:00,718
35330,35330,6/8/2014 0:00:00,6/7/2015 0:00:00,Longline Tuna,23.76,5.84,212,2/7/2014 16:18:00,5/5/2014 17:51:00,573
40539,40539,5/31/2016 0:00:00,5/30/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.49,8.51,9136,3/29/2014 8:53:00,4/26/2015 18:08:00,
40540,NUTRISEA,1/22/2017 0:00:00,1/21/2018 0:00:00,Transporter,23.9,8,9218,10/24/2016 0:00:00,6/20/2017 23:30:00,
40545,KASIH UTAMA,11/30/2016 0:00:00,11/29/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.72,7.75,10405,8/12/2016 0:46:00,6/20/2017 23:45:00,"572, 573"
40807,SURYA SAMUDERA CIPTA MUSTIKA - 68,6/16/2017 0:00:00,6/15/2018 0:00:00,Oceanic gillnet,27.07,8.8,70,6/19/2017 7:21:00,6/20/2017 23:17:00,718
40876,40876,5/22/2015 0:00:00,5/21/2016 0:00:00,Longline Tuna,23.98,6.45,2155,7/8/2014 3:12:00,5/19/2016 10:44:00,"572, 573"
41001,BINTANG KASIH MAKMUR,4/4/2016 0:00:00,4/3/2017 0:00:00,Purse Seine Big Pelagics with one boat,22.1,7.9,7182,1/17/2016 2:31:00,9/13/2016 3:07:00,"572, 573"
41002,KASIH SETIA - VII,11/3/2016 0:00:00,11/2/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.46,7.47,10434,10/24/2016 0:00:00,6/20/2017 23:21:00,"573, 572"
41003,41003,11/12/2015 0:00:00,11/11/2016 0:00:00,Purse Seine Small Pelagics,25.54,7.73,11096,1/26/2014 8:28:00,9/24/2015 13:00:00,"572, 573"
41003,HARAPAN MAJU SATU,11/12/2015 0:00:00,11/11/2016 0:00:00,Purse Seine Big Pelagics with one boat,25.54,7.73,13290,1/27/2016 0:00:00,11/21/2016 11:26:00,"572, 573"
41004,AGUNG MAKMUR - 28,1/2/2016 0:00:00,1/1/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.86,7.04,28228,1/1/2014 0:55:00,4/17/2017 8:00:00,"572, 573"
41005,PUTRA NUSANTARA SAKTI,4/6/2016 0:00:00,4/5/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.4,7.5,26307,2/7/2014 14:34:00,5/18/2017 7:07:00,"713, 712,713, 712"
41016,SUMBER JAYA,11/9/2016 0:00:00,11/8/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.61,8,12070,8/12/2016 0:51:00,6/20/2017 23:45:00,"572, 573"
41808,41808,10/23/2014 0:00:00,10/22/2015 0:00:00,Longline Tuna,18.4,4.42,785,3/4/2014 2:00:00,11/24/2014 3:41:00,717
41813,MINA SAMUDERA,10/25/2016 0:00:00,10/24/2017 0:00:00,Longline Tuna,19.4,6.4,4726,11/17/2016 6:32:00,6/20/2017 23:40:00,"572, 573"
41912,41912,5/23/2015 0:00:00,5/22/2016 0:00:00,Purse Seine Small Pelagics,23.6,6.55,22733,1/1/2014 0:08:00,8/8/2015 1:34:00,"713, 712"
41936,41936,12/30/2013 0:00:00,12/29/2014 0:00:00,Shrimp net,27.4,7.2,7855,2/17/2014 13:43:00,9/9/2014 22:26:00,718
42136,42136,5/21/2015 0:00:00,5/20/2016 0:00:00,Stick-Held lift net,23.96,6.98,5546,1/1/2014 0:06:00,5/17/2014 2:44:00,711
42182,42182,7/19/2015 0:00:00,7/18/2016 0:00:00,Pole-and-line,22.54,4.42,2119,1/1/2014 9:00:00,5/18/2014 20:50:00,"715, 717"
42194,42194,8/12/2014 0:00:00,8/11/2015 0:00:00,Shrimp net,22.56,7.79,7625,1/1/2014 2:59:00,6/4/2014 3:19:00,718
42217,42217,10/8/2014 0:00:00,10/7/2015 0:00:00,Purse Seine Small Pelagics,24.91,7.68,2875,1/1/2014 0:34:00,4/19/2014 8:14:00,"713, 712"
42226,42226,1/15/2016 0:00:00,1/14/2017 0:00:00,Purse Seine Small Pelagics,21.11,6.8,1262,1/11/2014 19:05:00,2/20/2014 21:57:00,"712, 713"
42367,42367,3/4/2016 0:00:00,3/3/2017 0:00:00,Purse Seine Small Pelagics,21.12,7.2,2147,1/3/2014 3:00:00,5/28/2014 2:15:00,"712, 713"
42653,MINA ANUGRAH - A,4/5/2017 0:00:00,4/4/2018 0:00:00,Purse Seine Big Pelagics with one boat,25.1,7.73,4902,3/13/2017 0:00:00,6/20/2017 23:46:00,"572, 573"
42657,42657,11/2/2014 0:00:00,11/1/2015 0:00:00,Longline Tuna,19.9,4.82,1053,1/1/2014 1:00:00,10/8/2014 9:00:00,717
42823,LANGSUNG JAYA INDAH,8/26/2016 0:00:00,8/25/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.4,8.53,8721,10/17/2016 0:00:00,6/20/2017 4:07:00,"572, 573"
42825,LAUT SUBUR - 7,3/9/2017 0:00:00,3/8/2018 0:00:00,Purse Seine Big Pelagics with one boat,34.16,8.2,2213,5/1/2017 6:00:00,6/20/2017 23:43:00,"573, 572"
42829,KAKAP MINA UTAMA,6/21/2016 0:00:00,6/20/2017 0:00:00,Longline Tuna,22.35,6.15,5922,9/13/2016 8:00:00,6/20/2017 23:49:00,"572, 573"
43771,INDO LAUTAN  SAKTI - I,11/30/2016 0:00:00,9/2/2017 0:00:00,Oceanic gillnet,26.68,7.18,7170,11/29/2016 0:00:00,6/20/2017 23:41:00,718
43925,CITRA MAJU,3/9/2017 0:00:00,3/8/2018 0:00:00,Oceanic gillnet,27.67,7.2,4687,2/21/2017 0:00:00,6/20/2017 23:29:00,718
43926,MARGO NUGROHO,3/7/2017 0:00:00,3/6/2018 0:00:00,Purse Seine Big Pelagics with one boat,29.15,9.16,4352,1/12/2017 7:00:00,6/20/2017 23:49:00,"572, 573"
43927,SIN TOBA JAYA 88,6/21/2016 0:00:00,6/20/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.44,8.96,1473,10/6/2016 6:00:00,4/24/2017 10:00:00,"572, 573"
43929,MAHA PUTRA,7/29/2016 0:00:00,7/28/2017 0:00:00,Purse Seine Big Pelagics with one boat,29.87,8.43,11174,8/18/2016 1:41:00,4/28/2017 14:00:00,"572, 573"
43930,PATRIOT,9/1/2016 0:00:00,8/31/2017 0:00:00,Purse Seine Small Pelagics,26.28,7.16,1266,5/22/2017 9:00:00,6/20/2017 23:38:00,"572, 573"
43931,SUMBER BAHARI - II,2/23/2017 0:00:00,2/22/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",24.2,6.88,8869,12/14/2016 0:00:00,6/19/2017 18:49:00,"572, 573,572, 573"
43933,TEGUH MAKMUR,6/27/2016 0:00:00,6/26/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",24.4,7.1,17676,1/1/2016 0:31:00,6/20/2017 23:18:00,"713,713"
43934,43934,9/28/2014 0:00:00,9/27/2015 0:00:00,Longline Tuna,22.43,5.35,21671,1/1/2014 0:05:00,3/3/2015 2:00:00,2
43936,PERMATA 188,12/6/2014 0:00:00,12/5/2015 0:00:00,Longline Tuna,21,5,20156,1/6/2014 6:00:00,2/1/2017 3:37:00,2
43943,MUTIARA No. 22,11/27/2014 0:00:00,11/26/2015 0:00:00,Longline Tuna,23.78,5.3,24770,1/1/2014 0:09:00,2/1/2017 4:21:00,2
43945,MUTIARA No. 38,11/23/2014 0:00:00,11/22/2015 0:00:00,Longline Tuna,23.78,5.3,25297,1/1/2014 0:09:00,10/17/2016 4:34:00,2
44271,PUTRA KENCANA -15,3/21/2016 0:00:00,3/20/2017 0:00:00,Basic longline,23.5,5.62,24861,1/1/2014 0:03:00,6/20/2017 23:38:00,"718, 715"
44273,44273,5/25/2016 0:00:00,5/24/2017 0:00:00,Transporter,27.59,8.01,20733,1/1/2014 0:07:00,6/4/2015 0:00:00,573
44273,HIROYOSHI 06,5/25/2016 0:00:00,5/24/2017 0:00:00,Longline Tuna,27.59,8.01,15727,5/25/2016 3:00:00,6/20/2017 23:42:00,573
44912,44912,3/8/2016 0:00:00,3/7/2017 0:00:00,Pole-and-line,23.56,4.66,253,1/1/2014 4:12:00,1/9/2014 17:59:00,"715, 717"
44936,44936,6/10/2014 0:00:00,6/9/2015 0:00:00,Purse Seine Big Pelagics with one boat,0,0,10122,1/1/2014 1:00:00,7/29/2014 10:00:00,"572, 573"
45157,45157,7/15/2014 0:00:00,7/14/2015 0:00:00,Stick-Held lift net,22.48,6.11,2429,2/17/2014 2:38:00,6/19/2014 8:19:00,711
45186,45186,7/5/2014 0:00:00,7/4/2015 0:00:00,Transporter,25.14,7.3,334,1/1/2014 0:02:00,1/26/2014 18:07:00,"718, 715"
45260,45260,7/13/2015 0:00:00,7/12/2016 0:00:00,Purse Seine Small Pelagics,21.88,6.12,10453,1/1/2014 1:00:00,9/9/2014 22:26:00,"711, 571"
45276,45276,7/14/2013 0:00:00,7/13/2014 0:00:00,Shrimp net,28.72,6.6,45,4/14/2014 7:00:00,5/1/2014 13:20:00,718
45294,45294,3/5/2014 0:00:00,3/4/2015 0:00:00,Transporter,51.4,8.5,3903,1/1/2014 0:06:00,4/7/2014 2:35:00,
45297,45297,7/1/2015 0:00:00,6/30/2016 0:00:00,Transporter,30.75,6.5,5233,1/1/2014 12:00:00,6/30/2014 0:56:00,"716, 717"
45375,45375,3/18/2014 0:00:00,2/15/2015 0:00:00,Transporter,19.97,6.56,1789,1/1/2014 0:13:00,2/18/2014 12:28:00,"715, 716"
45389,45389,9/22/2014 0:00:00,9/21/2015 0:00:00,Basic longline,22.85,5.95,1692,3/1/2014 6:32:00,8/23/2015 15:50:00,"718, 715"
45390,45390,5/10/2016 0:00:00,5/9/2017 0:00:00,Purse Seine Small Pelagics,23.41,7.4,4065,1/1/2014 0:01:00,6/26/2014 7:57:00,572
45408,45408,5/18/2016 0:00:00,5/17/2017 0:00:00,Stick-Held lift net,22.84,6.12,511,1/1/2014 0:05:00,1/9/2014 22:00:00,711
45411,45411,7/14/2014 0:00:00,7/13/2015 0:00:00,Shrimp net,28.72,6.6,1650,1/1/2014 0:11:00,2/1/2014 11:28:00,718
45518,45518,11/23/2015 0:00:00,11/22/2016 0:00:00,Purse Seine Small Pelagics,23.76,6.75,12550,5/22/2014 2:44:00,6/8/2015 22:00:00,573
45567,45567,7/13/2014 0:00:00,7/12/2015 0:00:00,Longline Tuna,20.32,6.54,1447,1/20/2014 6:00:00,5/5/2014 14:36:00,573
45583,45583,6/3/2014 0:00:00,6/2/2015 0:00:00,Transporter,26.45,4.8,181,1/1/2014 1:20:00,1/22/2014 6:02:00,
45593,45593,7/14/2014 0:00:00,7/13/2015 0:00:00,Shrimp net,29.04,6,1,2/10/2014 3:04:00,2/10/2014 3:04:00,718
45599,45599,10/13/2015 0:00:00,10/12/2016 0:00:00,Purse Seine Small Pelagics,29.15,6.5,2447,1/1/2014 12:00:00,7/26/2014 13:00:00,"714, 715"
45618,45618,5/24/2016 0:00:00,5/23/2017 0:00:00,Purse Seine Small Pelagics,22.37,7.04,1,10/13/2014 10:39:00,10/13/2014 10:39:00,"712, 713"
45693,45693,8/31/2015 0:00:00,8/30/2016 0:00:00,Pole-and-line,22.62,4.46,4230,1/1/2014 0:02:00,5/18/2014 21:00:00,"718, 715"
45708,45708,10/13/2014 0:00:00,10/12/2015 0:00:00,Purse Seine Small Pelagics,24.14,7.5,2283,1/2/2014 1:00:00,4/2/2014 8:21:00,"712, 713"
46330,46330,12/3/2014 0:00:00,12/2/2015 0:00:00,Longline Tuna,25.05,5.3,22016,1/1/2014 0:05:00,2/12/2015 2:48:00,2
46334,JIMMY WIJAYA XXXV,6/2/2017 0:00:00,6/1/2018 0:00:00,Transporter,25.68,6.72,553,6/9/2017 3:00:00,6/20/2017 23:45:00,
46337,ALONG MAKMUR - 8A,7/3/2016 0:00:00,7/2/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.22,6.73,12804,2/18/2014 9:57:00,6/20/2017 23:37:00,"711,711"
46939,46939,7/5/2013 0:00:00,7/4/2014 0:00:00,Transporter,46.78,8.4,2889,1/13/2014 5:30:00,8/10/2014 17:26:00,
47068,47068,7/28/2015 0:00:00,7/27/2016 0:00:00,Stick-Held lift net,23.84,5.68,9799,1/1/2014 1:00:00,12/15/2015 21:28:00,711
47717,DANAU TOBA INDAH - V,7/13/2016 0:00:00,7/12/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.24,7.57,19453,1/1/2014 0:50:00,1/22/2017 3:48:00,"572, 573"
47719,SINAR JAYA,6/21/2017 0:00:00,6/20/2018 0:00:00,Purse Seine Big Pelagics with one boat,27.84,7.9,1916,4/28/2017 0:00:00,6/20/2017 23:47:00,"572, 573"
49038,49038,1/7/2015 0:00:00,1/6/2016 0:00:00,Longline Tuna,23.32,5,21179,1/1/2014 0:05:00,3/5/2015 10:00:00,2
49163,49163,12/4/2014 0:00:00,12/3/2015 0:00:00,Longline Tuna,22.43,5.35,21142,1/1/2014 0:05:00,3/7/2015 19:09:00,2
49548,49548,11/23/2014 0:00:00,11/22/2015 0:00:00,Longline Tuna,24.81,5,21791,1/1/2014 0:08:00,3/5/2015 10:06:00,2
50169,50169,5/23/2016 0:00:00,5/22/2017 0:00:00,Stick-Held lift net,24.06,5.96,15,1/7/2014 2:34:00,1/11/2014 8:06:00,711
50229,50229,11/24/2012 0:00:00,11/23/2013 0:00:00,Fish net/dragnet,33.43,6.4,11056,1/1/2014 0:04:00,2/12/2015 7:09:00,718
50230,50230,11/24/2012 0:00:00,11/23/2013 0:00:00,Fish net/dragnet,33.43,6.4,869,1/30/2014 8:56:00,2/26/2014 22:25:00,718
50232,50232,6/4/2014 0:00:00,6/3/2015 0:00:00,Transporter,43.94,8,24691,1/1/2014 0:09:00,5/29/2015 0:14:00,717
50262,50262,5/28/2014 0:00:00,5/27/2015 0:00:00,Purse Seine Group (2 boat) Small Pelagics,22.9,6.17,7376,1/1/2014 0:07:00,5/17/2014 1:58:00,"718, 715, 716"
50265,50265,11/24/2012 0:00:00,11/23/2013 0:00:00,Fish net/dragnet,33.43,6.4,2834,1/1/2014 1:00:00,3/13/2014 6:57:00,718
50271,50271,3/8/2014 0:00:00,3/7/2015 0:00:00,Stick-Held lift net,24.3,6.4,314,1/31/2014 0:00:00,5/28/2014 17:42:00,711
50285,50285,10/27/2015 0:00:00,10/26/2016 0:00:00,Purse Seine Small Pelagics,24.09,6.44,1733,2/12/2014 4:53:00,5/20/2014 1:44:00,711
50370,50370,9/1/2014 0:00:00,8/31/2015 0:00:00,Purse Seine Small Pelagics,24.68,6.86,4654,1/1/2014 1:00:00,9/25/2014 10:10:00,573
50377,TWINDO - 38,12/30/2016 0:00:00,12/29/2017 0:00:00,Squid hooking,28.34,8.15,4441,12/14/2016 2:12:00,6/20/2017 23:29:00,718
50462,50462,2/16/2014 0:00:00,2/15/2015 0:00:00,Transporter,24.7,7.1,619,1/1/2014 1:24:00,2/25/2014 17:37:00,"715, 716"
50496,50496,6/4/2014 0:00:00,6/3/2015 0:00:00,Transporter,57.48,10.5,25794,1/1/2014 0:12:00,10/12/2015 1:43:00,717
50536,50536,6/14/2015 0:00:00,6/13/2016 0:00:00,Purse Seine Small Pelagics,23.82,6.3,162,1/1/2014 11:00:00,6/7/2014 19:12:00,715
50564,50564,6/19/2015 0:00:00,6/18/2016 0:00:00,Stick-Held lift net,21.2,5.26,197,6/19/2014 7:00:00,7/7/2015 2:45:00,711
52548,CHARLY TUNA WIJAYA - 11,4/22/2017 0:00:00,4/21/2018 0:00:00,Longline Tuna,23.34,7.34,1151,6/2/2017 0:00:00,6/20/2017 23:52:00,"572, 573"
52549,JIMMY WIJAYA - 12,6/19/2015 0:00:00,6/18/2016 0:00:00,Longline Tuna,25.31,7.05,11571,1/1/2014 0:50:00,12/29/2016 2:53:00,2
52573,ROSALIANA,3/10/2016 0:00:00,3/9/2017 0:00:00,Purse Seine Small Pelagics,18.7,6.15,14059,2/11/2014 0:00:00,1/22/2017 23:36:00,"711, 712"
52574,LAUT SUBUR - 5,12/4/2016 0:00:00,12/3/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.98,8.33,5353,2/21/2017 2:00:00,6/20/2017 23:43:00,"573, 572"
52582,KASIH SETIA - VI,7/6/2016 0:00:00,7/5/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.62,8,22959,1/1/2016 1:00:00,6/17/2017 2:36:00,573
52594,REJEKI ABADI - 02,10/14/2016 0:00:00,10/13/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.77,7.6,1411,9/22/2016 19:35:00,6/20/2017 23:45:00,572
52597,INDAH JAYA MAKMUR - 9,12/20/2016 0:00:00,12/19/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.86,7.16,4744,12/14/2016 0:00:00,6/20/2017 23:44:00,"572, 573"
53250,53250,12/16/2013 0:00:00,12/15/2014 0:00:00,Purse Seine Small Pelagics,27.44,7.47,1567,3/13/2014 1:23:00,5/6/2014 3:01:00,"572, 573"
54743,MINA ARINDO,6/9/2017 0:00:00,6/8/2018 0:00:00,Cast Nets,24.77,7.75,515,6/8/2017 0:00:00,6/20/2017 23:16:00,711
55269,INDAH KAIL,5/12/2016 0:00:00,5/11/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.78,7.8,27347,1/1/2014 0:48:00,2/19/2017 22:11:00,"572, 573"
55270,BINTANG ARINDO,9/29/2016 0:00:00,9/28/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.12,7.62,11247,9/19/2016 14:29:00,6/20/2017 2:26:00,"712, 713,712, 713"
55271,NAILI -  17,7/29/2016 0:00:00,7/28/2017 0:00:00,Longline Tuna,26.28,7.16,4702,9/19/2016 16:51:00,12/17/2016 11:00:00,"572, 573"
55274,TIP - 107,3/17/2017 0:00:00,3/16/2018 0:00:00,Transporter,27.19,7.7,4,3/24/2017 4:00:00,3/24/2017 6:00:00,
55469,DWI SUKSES SENTOSA,8/20/2016 0:00:00,8/19/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.42,8.15,5471,1/16/2016 13:43:00,6/20/2017 23:38:00,"572, 573"
56062,56062,6/18/2014 0:00:00,6/17/2015 0:00:00,Longline Tuna,47.2,8.7,26788,1/1/2014 0:35:00,9/3/2015 2:00:00,2
56063,56063,11/27/2014 0:00:00,11/26/2015 0:00:00,Fish net/dragnet,25.41,8,7729,8/20/2014 8:18:00,2/2/2015 8:49:00,718
56065,UNION ABADI,3/27/2016 0:00:00,3/26/2017 0:00:00,Stick-Held lift net,23.3,6.7,37864,1/1/2014 1:00:00,5/31/2017 13:08:00,711
56066,STARINDO JAYA MAJU I,5/24/2017 0:00:00,5/23/2018 0:00:00,Squid hooking,21,5.9,211,6/16/2017 7:00:00,6/20/2017 23:48:00,718
56067,UNITED - XXII,7/28/2016 0:00:00,7/27/2017 0:00:00,Longline Tuna,20.06,6.24,25984,1/1/2016 0:07:00,6/20/2017 23:49:00,"572, 573"
56270,PANCASARI PANGESTU,7/17/2016 0:00:00,7/16/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.52,7.5,18868,1/4/2016 1:17:00,6/7/2017 2:00:00,"712, 713,712, 713"
56281,SUMAN JAYA PERKASA,6/30/2016 0:00:00,6/29/2017 0:00:00,Hand Line Tuna,21.4,6.08,156,7/25/2016 0:00:00,9/5/2016 0:52:00,718
56282,56282,7/20/2016 0:00:00,7/19/2017 0:00:00,Purse Seine Small Pelagics,22.72,6.26,2678,1/21/2016 0:00:00,7/3/2016 18:39:00,711
56282,ANUGRAH SEJATI - 8,7/20/2016 0:00:00,7/19/2017 0:00:00,Lampara Seine Nets,22.72,6.26,45,3/13/2017 9:27:00,3/15/2017 11:00:00,711
56295,HALINDO JAYA,3/21/2017 0:00:00,3/20/2018 0:00:00,Purse Seine Big Pelagics with one boat,25.65,8.25,2017,4/20/2017 0:00:00,6/20/2017 23:49:00,"572, 573"
56297,SAMPURNA SEJAHTERA,7/29/2016 0:00:00,7/28/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.73,6.6,1668,1/7/2016 1:00:00,5/4/2017 8:07:00,"712, 713,712, 713"
56373,KASIH SETIA - III,9/4/2016 0:00:00,9/3/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.48,7.55,2140,9/19/2016 14:24:00,5/8/2017 7:17:00,"573, 572"
56387,SETIA MAJU 188,4/14/2017 0:00:00,4/13/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.56,6.87,4454,2/21/2017 0:00:00,6/20/2017 23:23:00,"713, 712,713, 712"
56393,VENIO - 07,2/15/2017 0:00:00,2/14/2018 0:00:00,Pole-and-line,26.25,4.6,8244,12/14/2016 0:00:00,6/20/2017 23:00:00,"715, 716"
56635,MEKAR SEJATI,12/23/2016 0:00:00,12/22/2017 0:00:00,Stick-Held lift net,23.63,6.3,2054,12/14/2016 0:00:00,4/28/2017 0:00:00,711
56671,LANGSUNG JAYA MAKMUR,4/25/2016 0:00:00,4/24/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",25.92,7.4,25611,1/1/2014 1:00:00,4/16/2017 23:00:00,"712, 711,712, 711"
56676,UNION JAYA - I,8/13/2016 0:00:00,8/12/2017 0:00:00,Transporter,25.68,6.8,24272,1/1/2016 1:00:00,6/20/2017 23:45:00,
56677,POWER REJEKI,3/3/2017 0:00:00,3/2/2018 0:00:00,Stick-Held lift net,22.83,6.33,769,3/10/2017 5:00:00,3/28/2017 12:15:00,711
56678,56678,6/4/2014 0:00:00,6/3/2015 0:00:00,Purse Seine Group (2 boat) Big Pelagics,30.8,7,11623,1/1/2014 0:08:00,9/13/2014 1:00:00,717
57067,AQUARIUS,6/9/2016 0:00:00,6/8/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.69,8.3,36669,1/1/2014 0:11:00,5/31/2017 6:19:00,"572, 573"
57259,57259,10/11/2013 0:00:00,10/10/2014 0:00:00,Longline Tuna,25.49,8.9,22779,1/1/2014 1:00:00,3/30/2015 14:00:00,3
57261,57261,11/30/2014 0:00:00,11/29/2015 0:00:00,Longline Tuna,31.97,6.3,20071,1/1/2014 0:08:00,4/29/2015 2:28:00,2
57584,57584,8/10/2015 0:00:00,8/9/2016 0:00:00,Longline Tuna,27.5,8.63,1814,1/30/2014 9:00:00,11/1/2015 23:24:00,"572, 573"
57585,MICKEY - 207,7/25/2016 0:00:00,7/24/2017 0:00:00,Purse Seine Big Pelagics with one boat,28.37,7.05,10330,8/23/2016 1:27:00,6/20/2017 23:43:00,717
58307,PERMATA  - 318,9/28/2014 0:00:00,9/27/2015 0:00:00,Longline Tuna,29.95,6.35,29269,1/1/2014 0:44:00,10/17/2016 3:54:00,2
59067,59067,7/27/2014 0:00:00,7/26/2015 0:00:00,Fish net/dragnet,28.59,7.02,19688,1/1/2014 0:07:00,2/2/2015 8:50:00,718
59623,HIROYOSHI - 7,10/14/2016 0:00:00,10/13/2017 0:00:00,Longline Tuna,24.05,7.1,7882,9/20/2016 0:00:00,6/20/2017 23:45:00,573
59655,59655,7/26/2014 0:00:00,7/25/2015 0:00:00,Fish net/dragnet,24.3,7.4,19203,1/1/2014 0:06:00,2/2/2015 8:49:00,718
59656,59656,6/4/2014 0:00:00,6/3/2015 0:00:00,Purse Seine Group (2 boat) Big Pelagics,31.36,7.05,22455,1/1/2014 1:00:00,5/28/2015 7:00:00,717
59661,59661,7/27/2014 0:00:00,7/26/2015 0:00:00,Fish net/dragnet,24.62,7.75,17087,1/1/2014 0:09:00,12/26/2014 0:12:00,718
59662,59662,7/27/2014 0:00:00,7/26/2015 0:00:00,Fish net/dragnet,34.44,8.25,16006,1/1/2014 0:42:00,2/2/2015 8:55:00,718
59894,59894,2/18/2015 0:00:00,2/17/2016 0:00:00,Purse Seine Small Pelagics,25.63,6.43,10116,1/13/2014 0:07:00,5/5/2016 6:52:00,"712, 713"
61573,61573,3/14/2014 0:00:00,3/13/2015 0:00:00,Fish net/dragnet,28.65,9.12,14635,1/1/2014 0:08:00,12/8/2014 3:00:00,718
61577,61577,7/27/2014 0:00:00,7/26/2015 0:00:00,Fish net/dragnet,39.09,8.25,17270,1/1/2014 0:06:00,2/2/2015 8:50:00,718
61578,61578,11/26/2014 0:00:00,11/25/2015 0:00:00,Fish net/dragnet,32.3,8.8,16520,1/1/2014 0:11:00,2/2/2015 8:51:00,718
61579,61579,3/11/2014 0:00:00,3/10/2015 0:00:00,Fish net/dragnet,28,9,17176,1/1/2014 0:16:00,2/2/2015 8:49:00,718
61583,61583,3/12/2014 0:00:00,3/11/2015 0:00:00,Fish net/dragnet,33.39,9.1,14575,1/1/2014 0:05:00,12/23/2014 13:00:00,718
61584,61584,12/27/2014 0:00:00,12/26/2015 0:00:00,Fish net/dragnet,27.12,8.87,72,2/10/2014 4:00:00,2/12/2014 7:12:00,718
61592,61592,10/22/2014 0:00:00,10/21/2015 0:00:00,Fish net/dragnet,27.39,8.25,5550,1/1/2014 0:07:00,12/18/2014 1:15:00,718
61593,61593,10/22/2014 0:00:00,10/21/2015 0:00:00,Fish net/dragnet,39.8,9,3363,2/7/2014 1:39:00,12/16/2014 20:18:00,718
61594,61594,10/22/2014 0:00:00,10/21/2015 0:00:00,Fish net/dragnet,41.77,9,6955,1/12/2014 8:01:00,12/16/2014 9:00:00,718
62057,62057,9/2/2015 0:00:00,9/1/2016 0:00:00,Stick-Held lift net,22.46,5.87,1648,8/20/2014 7:43:00,3/4/2016 23:21:00,711
62068,JAWA INDAH - A,5/10/2017 0:00:00,5/9/2018 0:00:00,Purse Seine Big Pelagics with one boat,26.94,7.74,1829,4/28/2017 0:00:00,6/20/2017 23:47:00,"572, 573"
63309,MITRA BAHARI,12/2/2016 0:00:00,12/1/2017 0:00:00,Longline Tuna,20.92,6.1,1829,11/8/2016 12:00:00,6/11/2017 12:36:00,573
64023,64023,12/10/2014 0:00:00,12/9/2015 0:00:00,Longline Tuna,19.25,4.7,19634,1/1/2014 0:09:00,3/13/2015 2:00:00,2
64024,GEMINI,2/2/2017 0:00:00,2/1/2018 0:00:00,Transporter,25.59,7.5,3848,2/21/2017 0:00:00,6/7/2017 21:06:00,
64974,64974,10/22/2014 0:00:00,10/21/2015 0:00:00,Fish net/dragnet,29.86,8.48,12789,1/1/2014 0:13:00,9/30/2014 5:48:00,718
64984,64984,5/29/2014 0:00:00,5/28/2015 0:00:00,Transporter,25.41,7.89,10516,1/1/2014 0:44:00,3/26/2015 10:00:00,
65084,65084,5/31/2016 0:00:00,5/30/2017 0:00:00,Longline Tuna,28.62,7.76,5381,1/1/2014 1:00:00,12/13/2014 12:23:00,2
