transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40510472,KILAT MAJU JAYA - 17,11/14/2016 0:00:00,11/13/2017 0:00:00,Longline Tuna,24.35,5.75,1506,9/30/2016 6:49:00,6/20/2017 23:40:00,"572, 573"
40510473,RODA TERBANG 08,2/2/2017 0:00:00,2/1/2018 0:00:00,Longline Tuna,20.04,5.68,8004,12/14/2016 0:57:00,6/20/2017 23:39:00,"572, 573"
40510474,BAHANA MARINE - 08,3/7/2017 0:00:00,3/6/2018 0:00:00,Stick-Held lift net,25.18,6.75,173,4/22/2017 17:22:00,4/24/2017 5:20:00,711
40510475,BAHANA CITRA -9,8/5/2016 0:00:00,8/4/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",19.94,6.88,6033,9/19/2016 14:19:00,6/20/2017 23:05:00,"572,572"
40510476,JIMMY WIJAYA - 37,8/30/2016 0:00:00,8/29/2017 0:00:00,Longline Tuna,23.61,6.18,23,3/22/2017 1:39:00,3/22/2017 23:39:00,"572, 573"
40510481,KM Agung Berkah Bahari,5/12/2016 0:00:00,5/11/2017 0:00:00,Purse Seine Small Pelagics,19.45,6,7834,12/10/2015 6:56:00,6/20/2017 23:48:00,713
40510481,AGUNG BERKAH BAHARI,5/12/2016 0:00:00,5/11/2017 0:00:00,Lampara Seine Nets,19.45,6,1269,2/21/2017 0:16:00,4/27/2017 23:20:00,713
40510482,HARAPAN JAYA,9/1/2016 0:00:00,8/31/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",20.43,7.32,2636,9/2/2016 0:38:00,6/20/2017 23:02:00,"712, 713,712, 713"
40510483,SINAR BAHAGIA,3/4/2017 0:00:00,3/3/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21.12,7.2,2903,12/14/2016 0:04:00,6/20/2017 23:11:00,"712, 713,712, 713"
40510484,LAKSANA BARU - A,9/14/2016 0:00:00,9/13/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.51,7.25,5073,9/14/2016 12:25:00,5/6/2017 3:55:00,"712, 713,712, 713"
