Transmitter No,Name,
4534697,AGRA JAYA 8,
87106,AGRA JAYA MANDIRI,
40510481,AGUNG BERKAH BAHARI,
31070091,AGUNG BERKAH BAHARI - 02,
40511646,AGUNG BERKAH BAHARI - 03,
40512452,AGUNG JAYA LESTARI,
4611629,AGUNG MAKMUR  - 68,
140365,AGUNG MAKMUR  XXII,
40409706,AGUNG MAKMUR - 168,
41004,AGUNG MAKMUR - 28,
4644749,AGUNG MAKMUR - XXVII,
4702051,AGUNG MAKMUR - XXVII,
4643099,AGUNG MAKMUR 18,
40409276,AGUNG MAKMUR 78,
4794568,AGUNG MAKMUR XXVII,
4702051,AGUNG MAKMUR-XXII,
31085970,AGUNG MINA SAMUDRA,
31072295,AGUNG SAMUDRA,
4922193,AJIE MINA PERKASA,
4876628,AKAR BAHAR,
R/836/IV/2003/C,AKASHIA,
45531,AKAU JAYA - II,
4567846,AKAU JAYA - II,
4848501,AKAU JAYA DELAPAN,
4830029,AKAU JAYA EMPAT,
4782020,AKAU JAYA ENAM,
4830032,AKAU JAYA LIMA,
4848502,AKAU JAYA SEMBILAN,
45418,AKFI JAYA,
4631189,AKUA PASIFIC,
86811703849,AL FALLAH - 02,
40514764,AL MASHUR - 01,
81687,ALAM JAYA,
4548783,ALAM JAYA,
4598449,ALAM JAYA,
4613996,ALAM JAYA,
4717442,ALAM JAYA,
124420,ALAM LAUT - I,
40409571,ALAM SAMUDERA JAYA -18,
4952133,ALAM SAMUDRA - 18,
40510213,ALAM SAMUDRA - 8,
4958154,ALAM SEKAR,
4881746,ALBAKOR PESISIR,
4881746,ALBAKOR PESISIR (x.Samudera JA),
4573720,ALHAMDULILLAH,
103101,ALIZA,
40408622,ALONG BAROKAH,
40409675,ALONG DAME,
46337,ALONG MAKMUR - 8A,
4462748,ALPHA JAYA,
4917049,ALSUM 31,
4872412,ALWIE JAYA,
4698914,ALWIE JAYA KARYA,
40408034,AMALIA MINA PERKASA,
703,AMAN  JAYA,
41956,AMAN  No. 16,
65235,AMAN  No. 6,
65236,AMAN No. 7,
4649080,AMANAH - II,
4625578,AMANDA - 08,
86811707373,AMANDA JAYA,
86811703444,AMANDA JAYA - II,
86811707366,AMANDA JAYA - III,
4554374,AMAT JAYA,
4958986,AMC - 01,
4958986,AMC - 01 (x.Tatsuyoshi - 8),
4958967,AMC - 02,
4958967,AMC - 02 (x.Ming Ping Yu 9725),
4958984,AMC- 03,
4960957,AMERANUS I,
4861507,AMJ - DELAPAN,
4814472,AMJ - ENAM,
50302,AMJ - LIMA,
12547,AMJ - SATU,
4575820,AMJ - SATU,
42102,AMJ - TUJUH,
4578261,AMJ - TUJUH,
4917443,AMRY MINA PERKASA,
40511966,AN-NAHDIYAH,
4962182,ANANDA 14,
4872419,ANANDA 16,
4779564,ANANDA 17,
4962180,ANANDA 17,
4748551,ANANDA 18,
4962178,ANANDA 19,
4693913,ANANDA 20,
4962177,ANANDA 20,
4788525,ANDALAN SETIA JAYA,
40408978,ANDALAN SUMBER JAYA,
65147,ANDALAN UTAMA JAYA,
124234,ANDIKA JAYA,
4591477,ANDIKA SAMUDERA 02,
35368,ANDIKA SAMUDRA,MT
86811035700,ANDIKA SAMUDRA - 01,
4907126,ANDIKA SAMUDRA - 02,
4512004,ANDIL SAMUDRA - 03,
4575588,ANDIL SAMUDRA - 10,
4608900,ANDRE WIJAYA,
31100134,ANDREW JAYA - 2,
86811707397,ANDRIANTO JAYA,
4620716,ANEKA  JAYA,
4616420,ANEKA - 212,
4725814,ANEKA 203,
99479,ANEKA 205,
124955,ANEKA 213,
4612037,ANEKA 217,
124806,ANEKA 223,
4944867,ANEKA JAYA,
40408760,ANEKA SEJATI,
40409271,ANGELINA JAYA,
4916124,ANGGORO KASIH,
4534400,ANGGREK - 03,
86811705563,ANGKASA,
4563511,ANGKASA - III,
4520843,ANGKASA JAYA 1,
4517911,ANGKASA MAKMUR,
4582474,ANITA,
