transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
4949249,BINA HASIL -I,Longline Tuna,370,GOLDEN TUNA,NISSAN
4949249,BINA HASIL I,Longline Tuna,370,GOLDEN TUNA,NISSAN
4949257,JIMMY WIJAYA 38,Longline Tuna,720,CHARLYWIJAYA TUNA,MITSUBISHI
4949257,JIMMY WIJAYA -38,Longline Tuna,720,CHARLYWIJAYA TUNA,MITSUBISHI
4949266,MEKAR KENCANA,Purse Seine Big Pelagics with one boat,370,MEKAR KENCANA MAKMUR,NISSAN
4949299,SURYA EKA SAKTI,Longline Tuna,#N/A,#N/A,#N/A
4949300,JIMMY INDAH -VIII,Longline Tuna,#N/A,#N/A,#N/A
4949300,JIMMY INDAH VIII,Longline Tuna,#N/A,#N/A,#N/A
4949302,HENTRI -II,Longline Tuna,#N/A,#N/A,#N/A
4949302,HENTRI II,Longline Tuna,#N/A,#N/A,#N/A
4949306,BANDAR NELAYAN -188,Transporter,#N/A,#N/A,#N/A
4949306,BANDAR NELAYAN 188,Transporter,#N/A,#N/A,#N/A
4949308,BALI JAYA III,Longline Tuna,280,PUTRA JAYAKOTA,NISSAN
4949308,BALI JAYA -III,Longline Tuna,280,PUTRA JAYAKOTA,NISSAN
4949322,DANAU TOBA INDAH -IX,Purse Seine Big Pelagics with one boat,420,HORISON SULYSTIO,NISSAN
4949322,DANAU TOBA INDAH XI,Purse Seine Big Pelagics with one boat,420,HORISON SULYSTIO,NISSAN
4949322,DANAU TOBA INDAH  XI,Purse Seine Big Pelagics with one boat,420,HORISON SULYSTIO,NISSAN
4949323,DANAU TOBA INDAH 9,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4949323,DANAU TOBA INDAH -IX,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4952101,KM. CITRA MAJU -18,Purse Seine Big Pelagics with one boat,520,GLOBAL PAHALA SAMUDERA,ISUZU
4952101,CITRA MAJU 18,Purse Seine Big Pelagics with one boat,520,GLOBAL PAHALA SAMUDERA,ISUZU
4952103,JIMMY WIJAYA 23,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
4952112,USAHA MAJU -I,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4952112,USAHA MAJU I,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4952132,JIMMY WIJAYA 30,Longline Tuna,370,CHARLYWIJAYA TUNA,NISSAN
4952216,SINAR ARINDO -36,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
4952216,SINAR ARINDO 36,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
4953775,MEKAR GLORIA UTAMA,Longline Tuna,#N/A,#N/A,#N/A
4953776,BALI NUSA 8,Longline Tuna,370,CHARLES,NISSAN
4953776,BALI NUSA -8,Longline Tuna,370,CHARLES,NISSAN
4953781,REJEKI CEMERLANG,Longline Tuna,350,PUTRA JAYAKOTA,NISSAN
4954519,NAILI -XXI,Transporter,700,SUASAN,CUMMINS
4954519,NAILI XXI,Transporter,700,SUASAN,CUMMINS
4955185,JAYA BALI B-03,Longline Tuna,420,JAYABALI BERSAUDARA,NISSAN
4955185,JAYA BALI -B.03,Longline Tuna,420,JAYABALI BERSAUDARA,NISSAN
4955186,SURYA TERBIT,Longline Tuna,520,ANTON WIJAYA TAN,ISUZU
4955190,SURYA TERBIT 168,Longline Tuna,#N/A,#N/A,#N/A
4955190,SURYA TERBIT NO. 168,Longline Tuna,#N/A,#N/A,#N/A
4955191,BINTANG ASIA,Purse Seine Big Pelagics with one boat,350,IJIJ KIAT,NISSAN
4955200,SUN RISE I,Purse Seine Big Pelagics with one boat,370,MULTI MEGAH MANUNGGAL,NISSAN
4955200,SUN RISE -I,Purse Seine Big Pelagics with one boat,370,MULTI MEGAH MANUNGGAL,NISSAN
4955202,LUCKY STEP,Purse Seine Big Pelagics with one boat,370,HASAN,NISSAN
4956244,BANDAR NELAYAN -202,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4956244,WISH ME LUCK 168,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4956245,BAHARI 07,Longline Tuna,380,PAHALA BAHARI BALI,MTU
4956245,BAHARI -07,Longline Tuna,380,PAHALA BAHARI BALI,MTU
4956258,PERINTIS JAYA VI,Longline Tuna,#N/A,#N/A,#N/A
4956262,BANDAR NELAYAN 16,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4956262,BANDAR NELAYAN -16,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4956264,FRANSISKA 88,Longline Tuna,#N/A,#N/A,#N/A
4956264,FRANSISKA -88,Longline Tuna,#N/A,#N/A,#N/A
4956265,SURYA TERBIT 08,Transporter,#N/A,#N/A,#N/A
4956287,MITRA SAMUDRA ABADI,Squid hooking,420,WENY YUHADI,NISSAN
