transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
40510308,MULTI SARANA INDAH -II,Longline Tuna,#N/A,#N/A,#N/A
40510309,STARINDO JAYA -V,Purse Seine Big Pelagics with one boat,420,STARINDO JAYA MAJU,NISSAN
40510310,STARINDO JAYA VI,Purse Seine Big Pelagics with one boat,420,HARTONO (HUAT),NISSAN
40510445,BINTANG BARAT -88,Longline Tuna,#N/A,#N/A,#N/A
40510450,PRIMA UTAMA JAYA -VIII,Transporter,370,STARINDO JAYA MAJU,NISSAN
40510473,RODA TERBANG 08,Longline Tuna,420,MITRA USAHA SAMUDERA,NISSAN
40510511,JIMMY WIJAYA 34,Longline Tuna,420,CHARLYWIJAYA TUNA,NISSAN
40510512,INTAN FORTUNA,Transporter,370,STARINDO JAYA MAJU,NISSAN
40510622,LAUTAN MENTARI,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40510705,HARAPAN JAYA SENTOSA,Purse Seine Big Pelagics with one boat,420,RAHARDJO,NISSAN
40510717,SIN TOBA JAYA -78,Purse Seine Big Pelagics with one boat,420,SUGIONO,NISSAN
40510955,RODA TERBANG -5,Longline Tuna,280,MITRA USAHA SAMUDERA,NISSAN
40510956,RODA TERBANG  09,Longline Tuna,270,MITRA USAHA SAMUDERA,HINO
40510964,TANJUNG PERMAI -A2,Purse Seine Big Pelagics with one boat,240,TANJUNG PERMAI ABADI,NISSAN
40511005,KENCANA MAS,Longline Tuna,280,INDOJOY FORTUNA,MITSUBISHI
40511885,STARINDO JAYA MAJU -VIII,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40512311,NANDO JAYA -02,Purse Seine Big Pelagics with one boat,420,HASIL ALAM SAMUDERA,NISSAN
40512707,RUKUN ARTHA SANTOSO-08,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40512707,RUKUN ARTHA SANTOSO -08,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40513424,CHARLIE TUNA WIJAYA -3,Longline Tuna,#N/A,#N/A,#N/A
40513426,SUMBER BERKAH,Longline Tuna,370,KURNIAWAN WIJAYA,NISSAN
40513427,DAMASHA -7,Purse Seine Big Pelagics with one boat,400,BERKATINDO PRIMA SEJAHTERA,NISSAN
40513596,HASIL LAUT -29,Longline Tuna,#N/A,#N/A,#N/A
40513982,HASIL MELIMPAH -26,Longline Tuna,295,DEBORA JULIATI,NISSAN
40513986,BERKAH MELIMPAH 18,Longline Tuna,410,SRI HARTATI,NISSAN
40514330,LAUTAN BERLIAN,Longline Tuna,210,ANITA,HINO
40514372,SIDO TAMBAH SANTOSO -04,Purse Seine Big Pelagics with one boat,420,MINA LANA SANTOSA,NISSAN
40514622,TRI JAYA XXI,Purse Seine Big Pelagics with one boat,420,TRI JAYA MAKMUR,NISSAN
40515051,BERKAH MELIMPAH -8,Longline Tuna,180,SRI HARTATI,HINO
40515071,SINAR  NELAYAN,Longline Tuna,350,SELASIH,HINO
40515519,AGRA JAYA -9,Purse Seine Big Pelagics with one boat,420,AGRA JAYA UTAMA,NISSAN
40516962,SINAR MENTARI -06,Longline Tuna,380,ANITA,HINO
40516970,PUTRA LEO NUSANTARA,Purse Seine Big Pelagics with one boat,350,PUTRA LEO NUSANTARA,NISSAN
40517295,SURYA NELAYAN 2,Longline Tuna,370,ANTONI,NISSAN
