found_flag,year,mmsi,flag_country_name,flag_iso3,shipname,callsign,imo,known_label,inferred_label,inferred_label_allyears,known_length,ais_length,inferred_length,known_tonnage,inferred_tonnage,known_engine_power,inferred_engine_power,active_positions,active_hours,gap_hours,active_days,fraction_time_high_seas,frac_fishing_high_seas,eez_first,frac_in_eez_first,eez_second,frac_in_eez_second,is_high_seas
Colombia,2014,773000,Invalid MMSI,NA,AMALIA,YJSL9,7124697,NA,purse_seines,purse_seines,NA,35,71.63691122,NA,1762.630793,NA,3391.201515,11017,7346.318333,NA,344,0.295782989,0.291247211,Ecuador,0.27700399,Peru,0.442333539,TRUE
,2012,773000,Invalid MMSI,NA,AMALIA,YJSL9,7124697,NA,purse_seines,purse_seines,NA,35,71.63691122,NA,1762.630793,NA,3391.201515,2195,4409.318056,2466.675278,225,0.803887219,0.67580971,Ecuador,0.638487978,NA,0.361512022,TRUE
,2015,2000080,Invalid MMSI,NA,SHIN FAR,BJZ77,NA,NA,drifting_longlines,trawlers,NA,65,68.50757476,NA,2704.959013,NA,2666.867174,2862,510.6325,9152.911111,25,0.987472031,0.985070611,Argentina,0.015945532,NA,0.984054468,TRUE
,2016,2000080,Invalid MMSI,NA,LQYY:,NA,NA,NA,drifting_longlines,trawlers,NA,65,68.50757476,NA,2704.959013,NA,2666.867174,6182,379.7138889,4834.84,23,0.959406366,0.946325705,Argentina,0.056500809,NA,0.943499191,TRUE
China,2016,2001002,Invalid MMSI,NA,LU QING YUAN YU 212,BZYL4,9738428,NA,drifting_longlines,drifting_longlines,NA,66,56.13552846,NA,1077.708255,NA,1519.527438,37311,1921.68,49.41,85,0.982034521,0.980761823,Argentina,0.01793449,NA,0.98206551,TRUE
,2013,4160002,Invalid MMSI,NA,SKYMAX 101,NA,NA,NA,NA,drifting_longlines,NA,NA,77.78131347,NA,1469.118001,NA,2237.722488,12248,3628.222778,188.5838889,189,0.276432956,0.173608132,NA,NA,NA,NA,TRUE
,2015,8921236,Invalid MMSI,NA,SHANDRANI 3,3 BOJ,NA,NA,NA,trawlers,NA,53,47.33758746,NA,772.0322839,NA,1323.709474,2623,1956.076389,1021.259444,204,0.488866951,0.802043503,Mauritius,0.79842454,NA,0.20157546,TRUE
,2013,9010222,Invalid MMSI,NA,AISB,NA,NA,NA,NA,drifting_longlines,NA,NA,44.22547526,NA,326.2744094,NA,1073.679175,2509,3027.636389,12996.51083,151,0.926256763,0.98529302,NA,NA,NA,NA,TRUE
,2012,9010222,Invalid MMSI,NA,AISB,NA,NA,NA,NA,drifting_longlines,NA,NA,44.22547526,NA,326.2744094,NA,1073.679175,404,1133.357778,2205.434444,67,0.852769997,0.961815873,NA,NA,NA,NA,TRUE
,2016,9102875,Invalid MMSI,NA,ONWA875,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,47.62111212,NA,495.9607786,NA,1025.819423,3031,3908.911389,181.1772222,182,0.97736829,1,NA,1,NA,NA,TRUE
,2013,9102875,Invalid MMSI,NA,ONWA875,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,47.62111212,NA,495.9607786,NA,1025.819423,13888,7386.3125,195.8147222,338,0.93640189,0.997579618,China,0.998622883,NA,0.001377117,TRUE
,2015,9102875,Invalid MMSI,NA,ONWA875,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,47.62111212,NA,495.9607786,NA,1025.819423,7726,8322.2675,117.5508333,365,0.920143053,0.999992175,Fiji,0.998959412,NA,0.001040588,TRUE
,2014,9102875,Invalid MMSI,NA,ONWA875,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,47.62111212,NA,495.9607786,NA,1025.819423,6711,5693.0725,310.9313889,283,0.938722074,0.997314208,China,0.99700965,NA,0.00299035,TRUE
,2016,9104846,Invalid MMSI,NA,ONWA4846,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,51.23004081,NA,571.3742187,NA,1706.656884,1389,4134.616667,986.3991667,205,0.9932337,1,NA,1,NA,NA,TRUE
,2016,9107059,Invalid MMSI,NA,ONWA7059,NA,NA,NA,other_fishing,other_fishing,NA,NA,20.20338941,NA,91.81216883,NA,407.9531047,3120,1760.168333,NA,95,0.284702608,0.265858601,United States,0.699092859,NA,0.300907141,TRUE
Venezuela,2016,10421670,Invalid MMSI,NA,ALETA AZUL,BCB,8030245,NA,purse_seines,purse_seines,NA,64.06373429,72.97051966,NA,1749.00689,NA,3257.839323,10761,2762.480833,2356.441667,170,0.260546624,0.618379647,Colombia,0.605244795,Costa Rica,0.018752984,TRUE
,2013,10421670,Invalid MMSI,NA,ALETA AZUL,BCB,8030245,NA,purse_seines,purse_seines,NA,64,72.97051966,NA,1749.00689,NA,3257.839323,8130,4690.073889,605.4244444,246,0.259112146,0.294998107,Colombia,0.275908838,Costa Rica,0.018309322,TRUE
Venezuela,2014,10421670,Invalid MMSI,NA,ALETA AZUL,BCB,8030245,NA,purse_seines,purse_seines,NA,64,72.97051966,NA,1749.00689,NA,3257.839323,13761,5321.614722,359.5011111,277,0.372429502,0.521390633,Colombia,0.002485077,Costa Rica,0.514985526,TRUE
,2012,10421670,Invalid MMSI,NA,ALETA AZUL,BCB,8030245,NA,purse_seines,purse_seines,NA,64,72.97051966,NA,1749.00689,NA,3257.839323,4463,4102.698056,1740.261111,208,0.146661045,0.30834745,Panama,0.232968663,Colombia,0.030032524,TRUE
Spain,2015,24081180,Invalid MMSI,NA,BERRIZ ALBONIGA,EA3954,NA,NA,NA,fixed_gear,NA,26,25.33722957,NA,127.7045026,NA,374.0652813,2105,1761.513056,825.5466667,141,0.432614865,0.540922724,Spain,0.291108566,France,0.485749725,TRUE
Spain,2014,24288000,Invalid MMSI,NA,RAMSES DOUS,EAOK,9166053,drifting_longlines,NA,drifting_longlines,30,30,33.73895092,294,297.2286924,NA,601.9624588,6351,2099.123333,NA,92,0.975844397,0.988885335,NA,NA,NA,NA,TRUE
United States,2014,36764000,Invalid MMSI,NA,CAPE COD,WDD5547,7806283,purse_seines,purse_seines,purse_seines,59.42064815,67,67.8619617,1257.814815,1579.755574,2688,3109.782604,32912,6142.148889,NA,363,0.517884327,0.684907116,Cook Islands,0.054195423,Samoa,8.46E-04,TRUE
United States,2016,36764000,Invalid MMSI,NA,CAPE COD,WDD5547,7806283,purse_seines,purse_seines,purse_seines,59.42064815,67,67.8619617,1257.814815,1579.755574,2688,3109.782604,62115,5424.026389,401.9166667,325,0.403553556,0.476552614,Marshall Islands,0.009279152,Mexico,0.004521954,TRUE
United States,2015,36764000,Invalid MMSI,NA,CAPE COD,WDD5547,7806283,purse_seines,purse_seines,purse_seines,59.42064815,67,67.8619617,1257.814815,1579.755574,2688,3109.782604,34088,5827.249444,NA,349,0.360299776,0.467875597,Tuvalu,0.140996511,American Samoa,0.020671559,TRUE
,2013,36764000,Invalid MMSI,NA,CAPE COD,WDD5547,7806283,purse_seines,purse_seines,purse_seines,59.42064815,67,67.8619617,1257.814815,1579.755574,2688,3109.782604,16455,5177.776111,220.3516667,302,0.41593736,0.487844563,Wallis and Futuna,0.002127372,Solomon Islands,0.026241613,TRUE
,2012,36764000,Invalid MMSI,NA,CAPE COD,WDD5547,7806283,purse_seines,purse_seines,purse_seines,59.42064815,67,67.8619617,1257.814815,1579.755574,2688,3109.782604,27516,5981.249444,NA,348,0.36385959,0.394136967,Samoa,0.002852282,Nauru,0.014980898,TRUE
,2015,41246006,Invalid MMSI,NA,HNY719,BZXD27,NA,NA,NA,drifting_longlines,NA,36,31.74290786,NA,139.408227,NA,564.8373416,7079,1771.58,55.01055556,149,0.166715361,0.111183694,Federated States of Micronesia,0.125517882,Cook Islands,0.753950158,TRUE
,2016,41246006,Invalid MMSI,NA,HNY719,BZXD27,NA,NA,NA,drifting_longlines,NA,36,31.74290786,NA,139.408227,NA,564.8373416,1035,361.8683333,NA,23,0.146458035,0.067626019,Federated States of Micronesia,0.056998384,NA,0.943001616,TRUE
,2016,41269518,Invalid MMSI,NA,SLC901,BZXC6,NA,NA,drifting_longlines,drifting_longlines,NA,27,24.11254099,NA,111.5596605,NA,456.5239248,1256,1965.958056,1408.483056,122,0.156595103,0.186342194,Palau,0.813005355,NA,0.186994645,TRUE
,2012,44109000,Invalid MMSI,NA,105OYANG,6LJG,NA,drifting_longlines,NA,drifting_longlines,49.91,NA,48.04233203,622,447.4185983,NA,822.9824958,14181,1682.130556,577.28,77,0.534793368,0.559650307,NA,NA,NA,NA,TRUE
,2016,53459540,Invalid MMSI,NA,TA SA 168,38390,NA,NA,squid_jigger,squid_jigger,NA,53,50.50582574,NA,855.4547005,NA,940.8808402,1821,1349.977222,154.5616667,119,0.973004928,0.990299357,Peru,0.01222908,NA,0.98777092,TRUE
,2016,81560005,Invalid MMSI,NA,AIB1560005-1,NA,NA,NA,trawlers,trawlers,NA,NA,41.14618848,NA,259.7616695,NA,973.7985141,3413,2098.923889,3032.572778,205,0.998925739,0.997880763,United States Minor Outlying Islands,0.998142281,NA,0.001857719,TRUE
,2016,81560008,Invalid MMSI,NA,AIB1560008-1,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,30.95208454,NA,152.5347381,NA,679.1791601,1525,1188.390556,4340.796944,114,0.998166154,0.996673048,United States Minor Outlying Islands,0.997958625,NA,0.002041375,TRUE
,2016,81560009,Invalid MMSI,NA,AIB1560009-1,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,35.70095713,NA,193.7269904,NA,1086.752958,1164,811.7580556,467.7594444,73,1,1,NA,1,NA,NA,TRUE
,2016,81560016,Invalid MMSI,NA,YI-02,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,46.94337598,NA,398.4443642,NA,1114.876066,1629,1524.431667,4697.298333,149,1,1,NA,1,NA,NA,TRUE
,2016,81560017,Invalid MMSI,NA,YI-03,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,46.79454387,NA,354.535364,NA,1029.760261,1720,1622.823889,4872.317778,165,1,1,NA,1,NA,NA,TRUE
,2016,81560018,Invalid MMSI,NA,YI-04,NA,NA,NA,trawlers,trawlers,NA,NA,47.7578425,NA,405.1827655,NA,1088.839175,1412,1801.416667,4835.975833,163,1,1,NA,1,NA,NA,TRUE
,2016,81560019,Invalid MMSI,NA,YI-05,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,45.41810817,NA,460.8485615,NA,1210.259233,1336,1956.062778,4740.770833,175,1,1,NA,1,NA,NA,TRUE
,2016,81560020,Invalid MMSI,NA,YI-06,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,32.97603259,NA,191.3959726,NA,882.6008982,1411,1663.051667,4653.101389,163,1,1,NA,1,NA,NA,TRUE
,2016,81560028,Invalid MMSI,NA,FULL FISH-1,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,37.75411899,NA,205.1133834,NA,1022.561977,6373,2857.552222,642.8883333,235,0.656384782,0.694010887,French Southern and Antarctic Lands,0.00120046,RÅ_union,0.693496796,TRUE
,2016,81560029,Invalid MMSI,NA,FULL FISH-2,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,39.61546873,NA,198.2533728,NA,966.1172584,6195,2825.002778,734.6069444,229,0.639835919,0.67536612,Madagascar,0.676920054,RÅ_union,0.321957784,TRUE
,2016,81560030,Invalid MMSI,NA,FULL FISH-3,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,40.60578577,NA,254.7627372,NA,992.5308143,4216,3021.190278,2076.731944,240,0.6420274,0.718438713,Madagascar,0.722368187,NA,0.277631813,TRUE
,2016,81560031,Invalid MMSI,NA,FULL FISH-4,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,37.32269674,NA,206.1439118,NA,1053.604982,5005,1857.486944,1412.226389,156,0.91967262,0.916731023,Madagascar,0.918239445,NA,0.081760555,TRUE
,2016,81560041,Invalid MMSI,NA,AIB1560041-1,NA,NA,NA,trawlers,trawlers,NA,NA,39.9129332,NA,202.5860693,NA,1128.096406,1167,787.9325,4694.324444,78,0.988513865,1,NA,1,NA,NA,TRUE
,2016,81560054,Invalid MMSI,NA,FULL FISH-5,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,59.21654065,NA,486.6790534,NA,1196.669308,1161,480.92,NA,69,0.697650699,0.486850958,Madagascar,0.527185788,NA,0.472814212,TRUE
,2016,81560184,Invalid MMSI,NA,268-1,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,52.67145857,NA,323.773762,NA,1138.769389,1564,1175.507222,4879.321944,89,0.99407472,1,NA,1,NA,NA,TRUE
,2016,81560247,Invalid MMSI,NA,062-1,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,47.29783173,NA,264.4079471,NA,1008.678263,1172,832.7925,1057.6575,83,1,1,NA,1,NA,NA,TRUE
,2016,81560250,Invalid MMSI,NA,062-4,NA,NA,NA,trawlers,trawlers,NA,NA,46.70474071,NA,257.2471659,NA,972.0793213,1104,867.3883333,1065.190833,81,0.99987019,1,NA,1,NA,NA,TRUE
,2016,81560402,Invalid MMSI,NA,KF1-02,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,60.90795938,NA,479.7414491,NA,1178.812347,981,1275.274722,228.8611111,110,1,1,NA,1,NA,NA,TRUE
,2016,81560403,Invalid MMSI,NA,KF1-03,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,58.93771284,NA,388.262747,NA,1172.574406,862,1251.774167,460.6008333,109,1,1,NA,1,NA,NA,TRUE
,2016,81560404,Invalid MMSI,NA,KF1-04,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,61.49095647,NA,453.3973126,NA,1217.637305,925,1111.010833,340.7413889,108,1,1,NA,1,NA,NA,TRUE
,2016,81560406,Invalid MMSI,NA,KF1-06,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,61.72467878,NA,429.0645332,NA,1328.321418,1509,1350.216944,165.4494444,109,1,1,NA,1,NA,NA,TRUE
,2016,81560407,Invalid MMSI,NA,KF1-07,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,58.37780962,NA,464.1280734,NA,1118.536379,1404,1409.133889,190.6455556,110,1,1,NA,1,NA,NA,TRUE
,2016,81560408,Invalid MMSI,NA,KF1-08,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,63.03889566,NA,375.6256864,NA,1313.160301,1252,1227.392222,204.9519444,110,1,1,NA,1,NA,NA,TRUE
,2016,81560410,Invalid MMSI,NA,KF1-10,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,58.70474523,NA,526.576937,NA,1149.090671,811,1072.593056,575.6694444,97,1,1,NA,1,NA,NA,TRUE
,2016,81560417,Invalid MMSI,NA,KF8-07,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,60.45460649,NA,312.6080809,NA,1399.108204,765,1189.206667,1130.060833,111,1,1,NA,1,NA,NA,TRUE
,2016,81560421,Invalid MMSI,NA,KF817-01,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,54.86580371,NA,538.9954653,NA,1120.048942,816,1178.105278,276.6002778,108,1,1,NA,1,NA,NA,TRUE
,2016,81560422,Invalid MMSI,NA,KF817-02,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,53.97863936,NA,326.0349045,NA,1299.769656,1121,1197.626667,192.7011111,110,1,1,NA,1,NA,NA,TRUE
,2016,81560423,Invalid MMSI,NA,KF817-03,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,54.31709599,NA,293.9864396,NA,1281.493799,1121,1274.663889,141.7055556,109,1,1,NA,1,NA,NA,TRUE
,2016,81560424,Invalid MMSI,NA,KF817-04,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,59.43121676,NA,311.9366772,NA,1415.130719,1155,1068.676111,387.7725,100,1,1,NA,1,NA,NA,TRUE
,2016,81560426,Invalid MMSI,NA,KF817-06,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,62.39583323,NA,330.9949162,NA,1544.627898,905,1244.953889,384.9463889,103,1,1,NA,1,NA,NA,TRUE
,2016,81560428,Invalid MMSI,NA,KF817-08,NA,NA,NA,squid_jigger,squid_jigger,NA,NA,52.08893013,NA,371.8102235,NA,1247.382033,803,1214.905833,336.8475,107,1,1,NA,1,NA,NA,TRUE
,2016,81560429,Invalid MMSI,NA,KF817-09,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,41.64067304,NA,426.5301729,NA,934.3831941,890,1206.532222,219.6863889,109,0.999999659,1,NA,1,NA,NA,TRUE
