fishing_season,vessel_name,flag_country_name,callsign,imo_number,crew_count,length_m,gross_tonnage_t,engine_power_kW,fishing_method,owner,port_of_registry,class
2013-2014,El Shaddai,South Africa,ZR6358,8025082,37,45.85,635.9,955,Longline,Braxton Security Services CC,Durban,longline
2013-2014,Koryo Maru No. 11,South Africa,ZR 7955,8603896,39,57.07,1119.9,998,Longline,Tafisa (Pty) Ltd,Cape Town,longline
2013-2014,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Arnela S.L.,,longline
2013-2014,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Arnela S.L.,,longline
2013-2014,More Sodruzhestva,Ukraine,UYDV,8724315,110,130.1,6394,5252,Conventional mid water trawl,Interpromflot Ltd,,trawler
2013-2014,Poseydon I,Ukraine,UUAW7,9447110,36,50.3,805,852,"Bottom longline, Trotline",Fishery Technology Inc.,,longline
2013-2014,Simeiz,Ukraine,URBX,9247912,40,55.46,871,1176,"Longline, Trotline",LLC Fishing Company Proteus,Sevastopol,longline
2013-2014,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,New Polar,United Kingdom,ZDLF2,8704779,58,74.5,1794,3000,Stern trawl,Polar Ltd,Port Stanley,trawler
2013-2014,Robin M Lee,United Kingdom,ZDLF2,8718465,60,70,1386,2208,Stern pelagic trawl,Nova Seafish Ltd,Port Stanley,trawler
2013-2014,Sil,United Kingdom,ZDLR1,8521347,60,78.5,2156,2834,Stern pelagic trawl,Polar Ltd,Port Stanley,trawler
2013-2014,Tronio,United Kingdom,ZDLS2,9361603,40,55,1058,1378.7,Stern pelagic trawl,Pesquerias Arnela S.L.,,trawler
2013-2014,Rambla,Uruguay,CXSB,9024621,38,50,852,1074,Spanish bottom longline,Riljer S.A.,Montevideo,longline
2014-2015,Antarctic Chieftain,Australia,VJT 6415,9262833,24,62.8,1136,1193,Auto Longline (Mustad),Antarctic Longline Ltd,Fremantle,longline
2014-2015,Antarctic Chieftain,Australia,VJT 6415,9262833,24,62.8,1136,1193,Auto Longline (Mustad),Antarctic Longline Ltd,Fremantle,longline
2014-2015,Atlas Cove,Australia,VHJT,9171008,30,68.1,1906,3407,Longline and trawl,Austral Fisheries Pty Ltd,Fremantle,longline | trawler
2014-2015,Atlas Cove,Australia,VHJT,9171008,30,68.1,1906,3407,Longline and trawl,Austral Fisheries Pty Ltd,Fremantle,longline | trawler
2014-2015,Austral Leader II,Australia,VHLU,7382770,30,59.8,1045,1760,Longline and pot,Austral Fisheries Pty Ltd,,longline
2014-2015,Corinthian Bay,Australia,VJN4779,9188960,30,54.58,1155,1118,Longline. Also licensed to use pots.,Austral Fisheries Pty Ltd,Fremantle,longline
2014-2015,Isla Eden,Australia,VJN4147,9111694,30,49.9,1362,1200,Longline. Also licensed to use pots.,Austral Fisheries Pty Ltd,Fremantle,longline
2014-2015,Janas,Australia,VMTW,9057109,20,46.5,1079,780,Mustad 'autoline' longline,Talley's Group Limited,Devonport,longline
2014-2015,Southern Champion,Australia,VHGI,7351147,33,87.19,1696,3134,Trawl,Austral Fisheries Pty Ltd,Fremantle,trawler
2014-2015,Antarctic Bay,Chile,CB 9738,9092240,44,51,985,1029,Longline,Antarctic Sea Fisheries S.A.,Valparaiso,longline
2014-2015,Betanzos,Chile,CBTZ,7310923,36,72.05,1438.7,1491,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2014-2015,Betanzos,Chile,CBTZ,7310923,36,72.05,1438.7,1491,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2014-2015,Fu Rong Hai,China,BAOC,7238113,100,110,5306,4189.5,Conventional pelagic trawl,Liaoning Pelagic Fisheries Co. Ltd,Dalian,trawler
2014-2015,Kai Fu Hao,China,BIWY,8907022,120,105,7671,5920,Pelagic trawl,Shanghai Kaichuang Deep Sea Fisheries Co. Ltd,Shanghai,trawler
2014-2015,Kai Li,China,BIWV,8607244,96,120.7,7847,5296,Conventional pelagic trawl,Shanghai Kaichuang Deep Sea Fisheries Co. Ltd,Shanghai,trawler
2014-2015,Kai Shun,China,BIWZ,8607268,101,120.7,7847,5296,Pelagic trawl,Shanghai Kaichuang Deep Sea Fisheries Co. Ltd,Shanghai,trawler
2014-2015,Long Da,China,BZYC,8225412,92,92.33,3879,2855,Conventional pelagic trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2014-2015,Long Fa,China,BZZQ7,8607115,110,120.7,7765,5296,Pelagic Trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2014-2015,Long Teng,China,BZZQ6,8607373,130,120.7,7765,5196,Pelagic trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2014-2015,Ming Kai,China,BZYL9,8908117,104,120.7,7765,5300,Pelagic trawl,Qingdao Deep-Sea Fishing Co. Ltd,Qingdao,trawler
2014-2015,Saint Andre,France,FNTD,9511181,28,56.4,1387,2800,Bottom autoline,SNC Saint Andre,,longline
2014-2015,Saint Andre,France,FNTD,9511181,28,56.4,1387,2800,Bottom autoline,SNC Saint Andre,,longline
2014-2015,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2014-2015,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2014-2015,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2014-2015,Hong Jin No. 701,"Korea, Republic of",6KSN,9012355,42,53.4,694,1029,Bottom longline,Hongjin Corporation,Busan,longline
2014-2015,Kingstar,"Korea, Republic of",6KCD4,8916009,42,51.01,573,1175,Bottom Longline,Sunwoo Corporation,Busan,longline
