flag,ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
Republic of Kiribati,4226.0,MARORAOI,T3LN2,440968e3,8103080.0,Single Purse Seine,68.1,1475.0,2684.52,25.0
South Korea,4242.0,ORIENTAL KIM,6NHC,440822e3,7827495.0,Single Purse Seine,76.57333333333332,745.0,2684.52,22.0
United States of America,4283.0,SEA ENCOUNTER,WTF4069,338539e3,7823360.0,Single Purse Seine,78.94,1340.0,2684.52,20.0
South Korea,4333.0,DEOLINDA,6NHD,440444e3,7827469.0,Single Purse Seine,68.28,606.0,2684.52,22.0
United States of America,4341.0,WESTERN PACIFIC,WDD5296,367666e3,7508893.0,Single Purse Seine,79.28,2024.0,2684.52,21.0
Republic of Kiribati,4390.0,MAMAUTARI,T3LW2,529695e3,8003278.0,Single Purse Seine,68.1,1201.65,2647.7954999999997,25.0
United States of America,4408.0,PACIFIC PRINCESS,WDC3424,366878e3,7806271.0,Single Purse Seine,78.64,2110.0,2684.52,21.0
United States of America,4457.0,CAPE MAY,WDE2195,368489e3,8103028.0,Single Purse Seine,NA,1167.0,2684.52,25.0
South Korea,4465.0,ELSPETH,6NHK,440479e3,7827483.0,Single Purse Seine,75.59,745.0,2684.52,22.0
Papua New Guinea,4473.0,ALPINE ROSE,P2V4189,NA,7523829.0,Single Purse Seine,66.52,989.4,2684.52,23.0
New Zealand,4507.0,CAPT MJ SOUZA,ZMAS,NA,7823396.0,Single Purse Seine,68.13,1468.0,2648.0,19.0
Republic of Kiribati,4523.0,MOAMAEU,T3BL2,529469e3,7915929.0,Single Purse Seine,79.91,1803.0,2684.52,24.0
Republic of Kiribati,4531.0,JEANNINE,T3SF,529223e3,7415242.0,Single Purse Seine,61.2,1160.0,2684.52,21.0
United States of America,4549.0,RAFFAELLO,WDD9140,367168e3,7212377.0,Single Purse Seine,58.22,1097.0,2684.52,23.0
South Korea,4705.0,SAJO OLYMPIA,6LCU,440671e3,8102921.0,Single Purse Seine,76.06,701.0,2647.7954999999997,25.0
Republic of Kiribati,4788.0,KAO NO.1,T3AG,529004e3,8029026.0,Single Purse Seine,56.75,1015.0,1618.09725,25.0
United States of America,6932.0,KOORALE,WDC4205,303345e3,7233280.0,Single Purse Seine,NA,1072.0,2684.52,18.0
Philippines,7294.0,CHENILLE,DUG9082,548204300.0,8204585.0,Single Purse Seine,61.55,349.53,1864.28,33.0
Philippines,7849.0,JOHN REYNALD,DUQA7,NA,8118322.0,Single Purse Seine,54.95,1020.88,2087.96,27.0
Philippines,7930.0,TOBIAS REYNALD,DUA2635,NA,8210508.0,Single Purse Seine,50.5,887.0,1640.54,26.0
United States of America,7948.0,CAPE FINISTERRE,WDA4699,366304e3,7912094.0,Single Purse Seine,238.3,1809.0,3206.51,25.0
United States of America,9308.0,JEANETTE,WCX7689,33854e4,7505865.0,Single Purse Seine,76.81,1498.0,2087.96,20.0
United States of America,9514.0,CAPE HORN,WDF9777,368083e3,8718079.0,Single Purse Seine,69.92,1518.0,2684.52,25.0
Papua New Guinea,10959.0,GOLDEN SAPPHIRE 88,P2V5655,431137e3,8324177.0,Single Purse Seine,61.43,349.0,1603.255,25.0
Japan,11155.0,FUKUJU MARU NO.21,NA,NA,NA,Longline,14.95,19.85,139.7447625,8.0
Papua New Guinea,11619.0,RED ROBIN 888,P2V5125,553111327.0,7225087.0,Single Purse Seine,55.5,897.26,2684.52,23.0
Japan,12567.0,TOMO MARU NO.3,NA,NA,NA,Longline,16.47,19.74,88.25985,8.0
Japan,12690.0,KAIO MARU NO.3,NA,NA,NA,Longline,14.23,17.0,88.25985,7.0
Japan,12872.0,AYA MARU,NA,431680280.0,NA,Longline,19.0,19.81,139.7447625,8.0
Japan,13086.0,YUSEI MARU NO.5,NA,431680580.0,NA,Longline,14.9,19.97,139.7447625,10.0
Japan,13193.0,TOKIWA MARU NO.3,JJFE,431511e3,8324153.0,Single Purse Seine,61.43,1032.0,1912.0,26.0
Japan,14316.0,OTOSHIRO MARU NO.1,7LDZ,431200880.0,8415926.0,Pole and Line,62.25,499.0,1470.9975,29.0
Solomon Islands,14662.0,SOLOMON VENTURE,H4SA,NA,8322870.0,Pole and Line,NA,NA,NA,NA
Japan,15545.0,SEISYU MARU NO.8,JGJK,43155900.0,8415249.0,Pole and Line,64.67,499.0,1470.9975,35.0
South Korea,16287.0,NO.309 DAE HWA,6KCB2,NA,8605052.0,Longline,54.8,376.0,735.0,25.0
Papua New Guinea,16469.0,NIUPELALIP NO.8,P2V5491,553111643.0,8520185.0,Single Purse Seine,61.75,1034.0,1912.0,25.0
South Korea,16949.0,COSMOS KIM,HLLF,440575e3,8103092.0,Single Purse Seine,75.1,733.0,2684.52,25.0
China,17079.0,JIN LIAO YU 77,BAWC,431932e3,8608690.0,Single Purse Seine,64.09,1091.0,2206.0,32.0
Philippines,17202.0,PURPLE BEAUTY 888,DUE6131,416892e3,8648016.0,Single Purse Seine,56.83,1206.0,2237.13999999999,23.0
South Korea,17491.0,GRANADA,HLBT,440552e3,8102907.0,Single Purse Seine,67.5,536.0,2684.52,22.0
Republic of Kiribati,17715.0,MOAMARI,T3JG,NA,8120533.0,Single Purse Seine,76.06,1633.0,2684.52,25.0
Papua New Guinea,17731.0,GARDENIA 888,P2V5654,416247600.0,8648028.0,Single Purse Seine,64.7,995.0,2237.1,24.0
Philippines,17889.0,F/V SOPHIA MARTINA,4DFC6,416508e3,8748696.0,Single Purse Seine,64.7,995.0,2162.53,30.0
South Korea,18150.0,KYUNG YANG NO.9,HLLR,440647e3,8610629.0,Longline,47.21,383.0,894.84,25.0
South Korea,18168.0,NO.803 DONGWON,HLLS,440646e3,8610631.0,Longline,53.3,383.0,894.84,25.0
Japan,19067.0,MIE MARU NO.3,NA,431680230.0,NA,Longline,16.86,19.0,117.6798,8.0
South Korea,19133.0,NO.509 NAMGUNG,HLWP,44077700.0,8619261.0,Longline,56.07,408.0,894.84,25.0
South Korea,19141.0,NO.808 DONGWON,HLWQ,440624e3,8619273.0,Longline,56.07,408.0,894.84,25.0
Japan,19158.0,TOSHIMA MARU NO.21,NA,431680680.0,NA,Longline,18.26,19.0,139.7447625,8.0
Philippines,19281.0,ALPINE PINK,DUA6144,NA,7111858.0,Single Purse Seine,58.8,815.35,2684.52,23.0
