mmsi,sub_label,label,length,tonnage,engine_power,crew_size,source
432845000,purse_seines,purse_seines,,,,30,https://www.wcpfc.int/node/17661
412421064,purse_seines,purse_seines,54.15,,,,https://www.npfc.int/vessel_list/hai-li-618
412328744,purse_seines,purse_seines,49.5,651,,,http://wwvv.iotc.org/vessels/history/76276/15250
412328743,purse_seines,purse_seines,49.5,651,,,http://wwvv.iotc.org/vessels/history/76279/15251
412329657,squid_jigger,squid_jigger,,,,,https://www.npfc.int/vessel_list/lu-huang-yuan-yu-107
412329658,squid_jigger,squid_jigger,70.87,,,,https://www.npfc.int/vessel_list/lu-huang-yuan-yu-108
416240500,squid_jigger,squid_jigger,74.13,,,,https://www.npfc.int/vessel_list/fong-no111
412440453,squid_jigger,squid_jigger,,,,,http://af.reuters.com/article/africaTech/idAFKCN0YE1LD
412329655,squid_jigger,squid_jigger,78,,,,https://www.npfc.int/vessel_list/lu-huang-yuan-yu-105
412698120,squid_jigger,squid_jigger,38.4,,,,https://www.npfc.int/vessel_list/jinhai806
431700226,squid_jigger,squid_jigger,30.15,,,,https://www.npfc.int/vessel_list/mishima-maru-no81
431700350,,,32.8,,,,https://www.npfc.int/vessel_list/genei-maru-no21
431700206,,,30.57,,,,https://www.npfc.int/vessel_list/shoun-maru-no58
431700574,,,30.57,,,,https://www.npfc.int/vessel_list/genei-maru-no78
412420981,squid_jigger,squid_jigger,,,,,https://www.sprfmo.int/assets/Fisheries/Vessels/2016-Active-Vessels-in-SPRFMO-3May16.pdf
412354154,squid_jigger,squid_jigger,,985,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412420659,squid_jigger,squid_jigger,,1587,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412440452,squid_jigger,squid_jigger,,1497,,,http://www.ptmarine.com/fishing-operations/our-vessels
412328749,squid_jigger,squid_jigger,,,,,https://www.fish-i-africa.org/wp-content/uploads/2017/06/Squid_capture_in_the_NWIO_FINAL_LR.pdf
412569986,squid_jigger,squid_jigger,,,,,https://www.fish-i-africa.org/wp-content/uploads/2017/06/Squid_capture_in_the_NWIO_FINAL_LR.pdf
412439765,squid_jigger,squid_jigger,,,,,https://www.fish-i-africa.org/wp-content/uploads/2017/06/Squid_capture_in_the_NWIO_FINAL_LR.pdf
412000812,squid_jigger,squid_jigger,44.96,477,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
412350801,squid_jigger,squid_jigger,44.96,479,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
412420648,squid_jigger,squid_jigger,53.07,732,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
412857888,squid_jigger,squid_jigger,51.43,,,,https://www.npfc.int/vessel_list/ming-xiang-857
412420011,squid_jigger,squid_jigger,44.98,543,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
900028867,squid_jigger,squid_jigger,63.68,1096,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
412672260,squid_jigger,squid_jigger,38.52,,,,https://www.npfc.int/vessel_list/zhouyu669
412320039,squid_jigger,squid_jigger,67.73,1372,,,https://www.sprfmo.int/assets/Meetings/Meetings-2013-plus/Commission-Meetings/4th-Commission-Meeting-2016-Valdivia-Chile/COMM-04-INF-05-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
701000551,trawlers,trawlers,,,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/017000447
44105000,trawlers,trawlers,57.5,832,,,http://www.datamar.com.br/ship-search/detail/19569/cosecha
432621000,whaling,other_fishing,,,,,
316012150,,,14.28,,,,canadian registry
432753000,,,61,,1641,90,https://www.wcpfc.int/node/17404
412420242,,,44.98,482,,,https://www.sprfmo.org/Web/Vessels/VesselSearchView.aspx
273345230,drifting_longlines,drifting_longlines,48,743,2016,30,https://www.ccamlr.org/en/node/75756#quicktabs-vessel_tabs=2
533130587,drifting_longlines,drifting_longlines,36.85,199,,,http://www.iotc.org/vessels/current
533130585,drifting_longlines,drifting_longlines,29,108,,,http://www.iotc.org/vessels/current
533130586,drifting_longlines,drifting_longlines,27,83,,,http://www.iotc.org/vessels/current
272180000,trawlers,trawlers,104.5,4407,5148,,https://lk.rs-class.org/regbook/regbookVessel
