ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
36165.0,KAISEI MARU NO.8,JCMK,431101320.0,8717049.0,Longline,56.08,409.0,735.0,22.0
36169.0,YUN RUN 3,T3FZ2,529578e3,9161613.0,Fish Carrier,91.48,2713.0,1491.4,22.0
36172.0,ZHONG DA 5,3DNS,520222e3,9639086.0,Longline,39.6,264.0,480.0,15.0
36173.0,ZHONG DA 6,3DNT,NA,9639098.0,Longline,39.6,264.0,480.0,15.0
36177.0,FU YUAN YU NO.557,BZ6US,412440029.0,8820509.0,Longline,55.6,619.0,1176.0,31.0
36178.0,FU YUAN YU NO.558,BZ7US,412440031.0,9031947.0,Longline,55.97,577.0,NA,31.0
36179.0,LIAO JIN LUN NO.107,BZZB5,NA,8021165.0,Longline,54.3,609.0,1029.0,31.0
36181.0,JUI HSIANG JIE,BJ5069,NA,NA,Longline,20.8,98.98,691.0,14.0
36182.0,OCEANUS,D7NG,576507e3,9194919.0,Fish Carrier,100.98,3747.0,3281.08,18.0
36194.0,LIAO JIN LUN 101,BZZH,412676430.0,8021024.0,Longline,53.67,606.0,956.0,31.0
36195.0,FU YING,BJ4851,416002686.0,NA,Longline,23.23,87.35,637.5735000000001,15.0
36196.0,LUCKY OCEAN 168,YJUJ4,577309e3,NA,Longline,57.59,490.0,735.49875,28.0
36197.0,LUCKY OCEAN NO.1,YJTV4,577258e3,8915914.0,Longline,55.52,587.0,735.49875,23.0
36198.0,HAI XING 715,BZ7VG,412420433.0,8654170.0,Longline,40.5,299.0,698.0,18.0
36199.0,HAI XING 716,BZ8VG,412420434.0,8654182.0,Longline,40.5,299.0,698.0,18.0
36200.0,HAI XING 717,BZ9VG,412420435.0,8654194.0,Longline,40.5,299.0,698.0,18.0
36201.0,HAI XING 718,BZ1VH,412420436.0,8654209.0,Longline,40.5,299.0,698.0,18.0
36202.0,QING YUAN YU 013,BZZQ4,412320021.0,8504492.0,Longline,55.6,619.0,1176.0,31.0
